,Players,club,league,age,nationality,Position,overall,potential,aggression,standing_tackle,sliding_tackle,marking,diver_trait,work_rate_def,tackling_speciality,argues_with_officials_trait,Total Apps,Total Yellows,Average Yellows/Game,Total Reds,Average Reds/Game,Total Conceded 1+,Average Conceded 1+
833,Danny Da Costa,Eintracht Frankfurt,German Bundesliga,23,Germany,Defender,71,76,67,70,73,67,False,Medium,False,False,23.0,4.0,0.17391304347826086,0.0,0.0,16.0,0.6956521739130435
834,Danny Graham,Blackburn Rovers,English League One,31,England,Forward,68,68,76,43,41,49,False,Medium,False,False,73.0,1.0,0.0136986301369863,0.0,0.0,0.0,0.0
835,Danny Ings,Liverpool,English Premier League,24,England,Forward,76,80,60,24,27,33,False,High,False,False,41.0,7.0,0.17073170731707318,0.0,0.0,0.0,0.0
836,Danny Latza,1. FSV Mainz 05,German Bundesliga,27,Germany,Midfielder,77,78,79,71,67,71,False,High,False,False,48.0,14.0,0.2916666666666667,0.0,0.0,0.0,0.0
837,Danny Rose,Tottenham Hotspur,English Premier League,26,England,Defender,82,83,87,84,85,82,False,High,False,False,119.0,32.0,0.2689075630252101,1.0,0.008403361344537815,57.0,0.4789915966386555
838,Danny Simpson,Leicester City,English Premier League,30,England,Defender,75,75,79,77,76,78,False,High,False,False,99.0,23.0,0.23232323232323232,0.0,0.0,64.0,0.6464646464646465
840,Danny Welbeck,Arsenal,English Premier League,26,England,Forward,80,81,75,38,33,28,True,High,False,False,106.0,6.0,0.05660377358490566,0.0,0.0,0.0,0.0
841,Dante,OGC Nice,French Ligue 1,33,Brazil,Defender,81,81,73,83,84,80,False,Medium,False,False,142.0,23.0,0.1619718309859155,0.0,0.0,34.0,0.23943661971830985
842,Dario Cvitanich,Banfield,Argentinian Superliga,33,Argentina,Forward,76,76,66,28,33,25,False,Low,False,False,69.0,15.0,0.21739130434782608,0.0,0.0,0.0,0.0
843,Dario Dainelli,Chievo Verona,Italian Serie A,38,Italy,Defender,76,76,69,78,74,81,False,Medium,False,False,133.0,34.0,0.2556390977443609,0.0,0.0,79.0,0.5939849624060151
845,Dario Lezcano,FC Ingolstadt 04,German 2. Bundesliga,27,Paraguay,Forward,74,75,82,36,33,41,True,Medium,False,False,50.0,8.0,0.16,0.0,0.0,0.0,0.0
847,Darko Brasanac,CD Leganes,Spanish Primera Division,25,Serbia,Midfielder,73,78,81,71,68,48,False,High,False,False,25.0,7.0,0.28,0.0,0.0,0.0,0.0
848,Darko Lazovic,Genoa,Italian Serie A,26,Serbia,Midfielder,75,75,67,33,28,26,False,Medium,False,False,48.0,4.0,0.08333333333333333,0.0,0.0,0.0,0.0
850,Darren Bent,Derby County,English Championship,33,England,Forward,71,71,43,19,20,21,False,Low,False,False,47.0,1.0,0.02127659574468085,0.0,0.0,0.0,0.0
851,Darren Fletcher,Stoke City,English Premier League,33,Scotland,Midfielder,76,76,80,81,76,78,False,High,False,False,117.0,6.0,0.05128205128205128,0.0,0.0,0.0,0.0
852,Darren Randolph,Middlesbrough,English Championship,30,Republic of Ireland,Goalkeeper,73,73,29,14,14,13,False,Medium,False,False,28.0,1.0,0.03571428571428571,0.0,0.0,29.0,1.0357142857142858
853,Darron Gibson,Sunderland,English Championship,29,Republic of Ireland,Midfielder,73,73,72,74,70,73,False,Medium,False,False,52.0,11.0,0.21153846153846154,1.0,0.019230769230769232,0.0,0.0
854,Darwin Machis,Granada CF,Spanish Segunda Division,24,Venezuela,Forward,74,80,72,35,24,20,False,Medium,False,False,35.0,2.0,0.05714285714285714,0.0,0.0,0.0,0.0
855,Daryl Janmaat,Watford,English Premier League,27,Netherlands,Defender,77,77,84,77,75,74,False,Medium,False,False,96.0,16.0,0.16666666666666666,0.0,0.0,92.0,0.9583333333333334
856,David Abraham,Eintracht Frankfurt,German Bundesliga,30,Argentina,Defender,79,79,80,83,78,78,False,Medium,False,False,116.0,21.0,0.1810344827586207,1.0,0.008620689655172414,78.0,0.6724137931034483
857,David Alaba,FC Bayern Munich,German Bundesliga,25,Austria,Defender,86,88,69,83,83,81,False,Medium,False,False,132.0,3.0,0.022727272727272728,0.0,0.0,18.0,0.13636363636363635
858,David Barral,Cadiz C.F.,Spanish Segunda Division,34,Spain,Forward,70,70,86,49,44,30,False,High,False,False,89.0,26.0,0.29213483146067415,0.0,0.0,0.0,0.0
861,David Costas,FC Barcelona B,Spanish Segunda Division,22,Spain,Defender,72,77,65,74,76,71,False,Medium,False,False,18.0,3.0,0.16666666666666666,0.0,0.0,14.0,0.7777777777777778
862,David De Gea,Manchester United,English Premier League,26,Spain,Goalkeeper,90,92,38,21,13,13,False,Medium,False,False,171.0,3.0,0.017543859649122806,0.0,0.0,59.0,0.34502923976608185
866,David Garcia,UD Las Palmas,Spanish Primera Division,35,Spain,Defender,77,77,80,77,75,78,False,Medium,False,False,19.0,2.0,0.10526315789473684,0.0,0.0,12.0,0.631578947368421
868,David Ivan,Sampdoria,Italian Serie A,22,Slovakia,Midfielder,69,75,71,60,54,52,False,Medium,False,False,21.0,5.0,0.23809523809523808,0.0,0.0,0.0,0.0
869,David Jones,Sheffield Wednesday,English Championship,32,England,Midfielder,70,70,55,67,63,65,False,High,False,False,50.0,2.0,0.04,0.0,0.0,0.0,0.0
870,David Junca,SD Eibar,Spanish Primera Division,23,Spain,Defender,74,80,75,69,75,71,False,Medium,False,False,40.0,9.0,0.225,0.0,0.0,32.0,0.8
872,David Lopez,RCD Espanyol,Spanish Primera Division,27,Spain,Midfielder,78,78,77,82,76,77,False,High,False,False,94.0,13.0,0.13829787234042554,0.0,0.0,0.0,0.0
873,David Luiz,Chelsea,English Premier League,30,Brazil,Defender,86,86,86,85,84,80,False,Medium,False,False,102.0,23.0,0.22549019607843138,0.0,0.0,20.0,0.19607843137254902
874,David Marshall,Hull City,English Championship,32,Scotland,Goalkeeper,74,74,41,14,13,13,False,Medium,False,False,53.0,2.0,0.03773584905660377,0.0,0.0,71.0,1.3396226415094339
875,David Meyler,Hull City,English Championship,28,Republic of Ireland,Midfielder,70,70,86,69,65,70,False,High,False,False,81.0,17.0,0.20987654320987653,1.0,0.012345679012345678,0.0,0.0
876,David Navarro,AD Alcorcon,Spanish Segunda Division,37,Spain,Defender,72,72,85,72,68,76,False,Medium,False,False,105.0,26.0,0.24761904761904763,1.0,0.009523809523809525,73.0,0.6952380952380952
877,David Ospina,Arsenal,English Premier League,28,Colombia,Goalkeeper,79,79,20,13,12,10,False,Medium,False,False,78.0,5.0,0.0641025641025641,2.0,0.02564102564102564,31.0,0.3974358974358974
879,David Rozehnal,KV Oostende,Belgian First Division A,36,Czech Republic,Defender,71,71,66,74,67,70,False,Medium,False,False,47.0,0.0,0.0,0.0,0.0,12.0,0.2553191489361702
880,David Silva,Manchester City,English Premier League,31,Spain,Midfielder,87,87,51,44,29,25,False,Low,False,False,149.0,22.0,0.1476510067114094,0.0,0.0,0.0,0.0
881,David Simon,UD Las Palmas,Spanish Primera Division,27,Spain,Defender,74,75,80,71,73,72,False,Medium,False,False,43.0,10.0,0.23255813953488372,0.0,0.0,40.0,0.9302325581395349
883,David Stockdale,Birmingham City,English Championship,31,England,Goalkeeper,74,74,39,15,13,11,False,Medium,False,False,23.0,0.0,0.0,0.0,0.0,28.0,1.2173913043478262
884,David Vaughan,Nottingham Forest,English Championship,34,Wales,Midfielder,69,69,73,69,64,65,False,High,False,False,27.0,2.0,0.07407407407407407,0.0,0.0,0.0,0.0
885,David Villa,New York City Football Club,USA Major League Soccer,35,Spain,Forward,82,82,67,28,38,22,False,Low,False,False,64.0,4.0,0.0625,0.0,0.0,0.0,0.0
886,David Zurutuza,Real Sociedad,Spanish Primera Division,30,France,Midfielder,79,79,70,73,67,69,False,Medium,False,False,112.0,17.0,0.15178571428571427,0.0,0.0,0.0,0.0
887,Davide Astori,Fiorentina,Italian Serie A,30,Italy,Defender,81,81,77,85,80,85,False,High,False,False,156.0,39.0,0.25,0.0,0.0,87.0,0.5576923076923077
889,Davide Biondini,Sassuolo,Italian Serie A,34,Italy,Midfielder,70,70,88,68,62,60,False,High,False,False,118.0,23.0,0.19491525423728814,0.0,0.0,0.0,0.0
892,Davide Brivio,Virtus Entella,Italian Serie B,29,Italy,Defender,72,72,77,78,76,75,False,Medium,False,False,69.0,7.0,0.10144927536231885,0.0,0.0,49.0,0.7101449275362319
894,Davide Calabria,Milan,Italian Serie A,20,Italy,Defender,73,83,72,74,74,70,False,Medium,False,False,19.0,7.0,0.3684210526315789,0.0,0.0,12.0,0.631578947368421
896,Davide Di Gennaro,Lazio,Italian Serie A,29,Italy,Midfielder,72,72,59,60,47,39,False,Medium,False,False,21.0,5.0,0.23809523809523808,0.0,0.0,0.0,0.0
903,Davide Santon,Inter,Italian Serie A,26,Italy,Defender,76,78,69,77,76,74,False,Medium,False,False,92.0,8.0,0.08695652173913043,0.0,0.0,61.0,0.6630434782608695
905,Davide Zappacosta,Chelsea,English Premier League,25,Italy,Midfielder,79,83,75,77,79,75,False,High,False,False,82.0,8.0,0.0975609756097561,0.0,0.0,0.0,0.0
906,Davie Selke,Hertha BSC Berlin,German Bundesliga,22,Germany,Forward,72,82,74,27,17,25,False,Medium,False,False,54.0,8.0,0.14814814814814814,0.0,0.0,0.0,0.0
908,Dayot Upamecano,RB Leipzig,German Bundesliga,18,France,Defender,71,86,73,75,70,69,False,Medium,False,False,12.0,3.0,0.25,0.0,0.0,10.0,0.8333333333333334
909,DeAndre Yedlin,Newcastle United,English Premier League,23,United States,Defender,73,80,75,71,71,67,False,Medium,False,False,24.0,2.0,0.08333333333333333,0.0,0.0,13.0,0.5416666666666666
910,Dean Marney,Burnley,English Premier League,33,England,Midfielder,72,72,83,66,73,68,False,High,False,False,41.0,13.0,0.3170731707317073,0.0,0.0,0.0,0.0
911,Dean Moxey,Exeter City,English League Two,31,England,Defender,67,67,65,66,65,64,False,Medium,False,False,20.0,2.0,0.1,0.0,0.0,13.0,0.65
912,Dean Whitehead,Huddersfield Town,English Premier League,35,England,Midfielder,66,66,79,66,63,62,False,High,False,False,26.0,10.0,0.38461538461538464,0.0,0.0,0.0,0.0
913,Declan John,Rangers,Scottish Premiership,22,Wales,Midfielder,69,77,56,70,69,61,False,Medium,False,False,20.0,0.0,0.0,0.0,0.0,0.0,0.0
915,Declan Rudd,Preston North End,English Championship,26,England,Goalkeeper,70,74,24,13,14,13,False,Medium,False,False,11.0,2.0,0.18181818181818182,0.0,0.0,14.0,1.2727272727272727
916,Deivid,Real Valladolid,Spanish Segunda Division,28,Spain,Defender,74,75,73,74,80,71,False,Medium,False,False,21.0,4.0,0.19047619047619047,0.0,0.0,22.0,1.0476190476190477
918,Dejan Lekic,CF Reus Deportiu,Spanish Segunda Division,32,Serbia,Forward,68,68,58,34,27,24,False,Low,False,False,18.0,2.0,0.1111111111111111,0.0,0.0,0.0,0.0
919,Dejan Lovren,Liverpool,English Premier League,27,Croatia,Defender,81,83,87,83,85,78,False,High,False,False,128.0,23.0,0.1796875,2.0,0.015625,67.0,0.5234375
921,Dele Alli,Tottenham Hotspur,English Premier League,21,England,Midfielder,84,90,84,63,57,60,False,Medium,False,False,70.0,11.0,0.15714285714285714,0.0,0.0,0.0,0.0
923,Demarai Gray,Leicester City,English Premier League,21,England,Midfielder,73,83,33,23,20,21,False,Low,False,False,42.0,2.0,0.047619047619047616,0.0,0.0,0.0,0.0
926,Denis Petric,En Avant de Guingamp,French Ligue 1,29,Serbia,Goalkeeper,70,70,19,13,12,12,False,Medium,False,False,20.0,1.0,0.05,0.0,0.0,19.0,0.95
927,Denis Suarez,FC Barcelona,Spanish Primera Division,23,Spain,Midfielder,80,87,47,59,42,40,False,Medium,False,False,88.0,6.0,0.06818181818181818,0.0,0.0,0.0,0.0
929,Denis Tonucci,Bari,Italian Serie B,28,Italy,Defender,69,69,74,73,69,68,False,High,False,False,20.0,5.0,0.25,0.0,0.0,21.0,1.05
932,Dennis Aogo,VfB Stuttgart,German Bundesliga,30,Germany,Defender,74,74,75,73,74,75,False,Medium,False,False,94.0,16.0,0.1702127659574468,0.0,0.0,69.0,0.7340425531914894
933,Dennis Appiah,RSC Anderlecht,Belgian First Division A,25,France,Midfielder,73,76,76,74,76,69,False,Medium,False,False,68.0,5.0,0.07352941176470588,1.0,0.014705882352941176,0.0,0.0
934,Dennis Diekmeier,Hamburger SV,German Bundesliga,27,Germany,Defender,74,75,70,74,75,70,False,Medium,False,False,119.0,24.0,0.20168067226890757,0.0,0.0,99.0,0.8319327731092437
936,Dennis Praet,Sampdoria,Italian Serie A,23,Belgium,Midfielder,76,81,64,58,61,40,False,Medium,False,False,32.0,4.0,0.125,0.0,0.0,0.0,0.0
940,Diafra Sakho,West Ham United,English Premier League,27,Senegal,Forward,75,76,67,23,22,24,False,Medium,False,False,48.0,5.0,0.10416666666666667,0.0,0.0,0.0,0.0
941,Diallo Guidileye,Genclerbirligi SK,Turkish Super Lig,27,Mauritania,Midfielder,70,72,79,71,64,66,False,High,False,False,24.0,5.0,0.20833333333333334,0.0,0.0,0.0,0.0
942,Didac Vila,RCD Espanyol,Spanish Primera Division,28,Spain,Defender,72,72,78,72,75,71,False,Medium,False,False,27.0,5.0,0.18518518518518517,0.0,0.0,30.0,1.1111111111111112
944,Diego,Stade de Reims,French Ligue 2,29,Brazil,Midfielder,74,74,55,48,39,46,False,Medium,False,False,32.0,7.0,0.21875,0.0,0.0,0.0,0.0
947,Diego Benaglio,AS Monaco,French Ligue 1,33,Switzerland,Goalkeeper,77,77,38,13,14,10,False,Medium,False,False,129.0,5.0,0.03875968992248062,0.0,0.0,85.0,0.6589147286821705
948,Diego Carlos,FC Nantes,French Ligue 1,24,Brazil,Defender,77,80,82,78,69,76,False,High,False,False,34.0,8.0,0.23529411764705882,0.0,0.0,23.0,0.6764705882352942
949,Diego Castro,Perth Glory,Australian A-League,34,Spain,Forward,76,76,65,42,40,35,False,Low,False,False,98.0,22.0,0.22448979591836735,0.0,0.0,0.0,0.0
950,Diego Contento,Girondins de Bordeaux,French Ligue 1,27,Germany,Defender,72,73,75,74,73,71,False,Medium,False,False,90.0,14.0,0.15555555555555556,0.0,0.0,42.0,0.4666666666666667
951,Diego Costa,Chelsea,English Premier League,28,Spain,Forward,86,86,93,39,34,28,True,Medium,False,False,155.0,45.0,0.2903225806451613,0.0,0.0,0.0,0.0
952,Diego Demme,RB Leipzig,German Bundesliga,25,Germany,Midfielder,78,81,80,76,72,63,False,High,False,False,32.0,4.0,0.125,0.0,0.0,0.0,0.0
953,Diego Fabbrini,Real Oviedo,Spanish Segunda Division,26,Italy,Forward,70,71,34,27,22,19,False,Medium,False,False,15.0,0.0,0.0,0.0,0.0,0.0,0.0
954,Diego Falcinelli,Sassuolo,Italian Serie A,26,Italy,Forward,74,75,45,15,15,11,False,Low,False,False,62.0,8.0,0.12903225806451613,0.0,0.0,0.0,0.0
955,Diego Farias,Cagliari,Italian Serie A,27,Brazil,Forward,74,75,40,27,12,11,True,Medium,False,False,60.0,12.0,0.2,0.0,0.0,0.0,0.0
956,Diego Godin,Atletico Madrid,Spanish Primera Division,31,Uruguay,Defender,88,88,88,86,89,87,False,High,True,False,165.0,50.0,0.30303030303030304,0.0,0.0,38.0,0.23030303030303031
959,Diego Laxalt,Genoa,Italian Serie A,24,Uruguay,Midfielder,78,82,65,53,57,53,False,High,False,False,99.0,11.0,0.1111111111111111,0.0,0.0,0.0,0.0
960,Diego Llorente,Real Sociedad,Spanish Primera Division,23,Spain,Defender,79,87,75,80,81,79,False,Medium,False,False,60.0,12.0,0.2,2.0,0.03333333333333333,42.0,0.7
961,Diego Lopez,RCD Espanyol,Spanish Primera Division,35,Spain,Goalkeeper,83,83,36,13,14,14,False,Medium,False,False,96.0,3.0,0.03125,2.0,0.020833333333333332,52.0,0.5416666666666666
962,Diego Marino,Real Sporting de Gijon,Spanish Segunda Division,27,Spain,Goalkeeper,74,77,22,15,14,16,False,Medium,False,False,85.0,4.0,0.047058823529411764,1.0,0.011764705882352941,80.0,0.9411764705882353
963,Diego Novaretti,Club Leon,Mexican Liga MX,32,Argentina,Defender,73,73,82,76,70,72,False,Medium,False,False,17.0,5.0,0.29411764705882354,0.0,0.0,10.0,0.5882352941176471
964,Diego Perotti,Roma,Italian Serie A,28,Argentina,Forward,81,81,51,31,22,24,False,Medium,False,False,118.0,14.0,0.11864406779661017,1.0,0.00847457627118644,0.0,0.0
966,Diego Reyes,FC Porto,Portuguese Primeira Liga,24,Mexico,Midfielder,77,82,64,76,81,79,False,High,False,False,65.0,6.0,0.09230769230769231,0.0,0.0,0.0,0.0
967,Diego Rico,CD Leganes,Spanish Primera Division,24,Spain,Defender,76,81,70,75,74,70,False,Medium,False,False,25.0,6.0,0.24,0.0,0.0,21.0,0.84
968,Diego Rolan,Malaga CF,Spanish Primera Division,24,Uruguay,Forward,77,80,62,27,18,33,False,Medium,False,False,121.0,10.0,0.08264462809917356,1.0,0.008264462809917356,0.0,0.0
969,Dimitri Cavare,Barnsley,English Championship,22,France,Forward,70,77,79,73,70,72,False,Medium,False,False,22.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0
970,Dimitri Foulquier,RC Strasbourg,French Ligue 1,24,France,Defender,71,76,67,75,77,63,False,Medium,False,False,109.0,15.0,0.13761467889908258,0.0,0.0,114.0,1.0458715596330275
971,Dimitri Payet,Olympique de Marseille,French Ligue 1,30,France,Midfielder,83,83,57,36,39,29,False,Low,False,False,173.0,20.0,0.11560693641618497,0.0,0.0,0.0,0.0
974,Diogo Figueiras,Olympiakos CFP,Greek Super League,26,Portugal,Defender,74,77,77,71,75,71,False,Medium,False,False,45.0,17.0,0.37777777777777777,0.0,0.0,35.0,0.7777777777777778
975,Divock Origi,VfL Wolfsburg,German Bundesliga,22,Belgium,Forward,78,85,69,24,18,30,False,Medium,False,False,123.0,1.0,0.008130081300813009,0.0,0.0,0.0,0.0
976,Djamel Bakar,Tours FC,French Ligue 2,28,Comoros,Midfielder,70,70,49,19,21,19,False,Medium,False,False,68.0,2.0,0.029411764705882353,0.0,0.0,0.0,0.0
977,Djamel Mesbah,FC Lausanne-Sports,Swiss Super League,32,Algeria,Midfielder,73,73,70,72,71,63,False,Medium,False,False,58.0,12.0,0.20689655172413793,0.0,0.0,0.0,0.0
978,Djibril Sidibe,AS Monaco,French Ligue 1,24,France,Defender,79,82,76,78,79,75,False,High,False,False,125.0,22.0,0.176,1.0,0.008,41.0,0.328
981,Dodo,Sampdoria,Italian Serie A,25,Brazil,Defender,73,75,70,64,65,66,False,Medium,False,False,74.0,10.0,0.13513513513513514,0.0,0.0,60.0,0.8108108108108109
984,Dominic Calvert-Lewin,Everton,English Premier League,20,England,Midfielder,67,82,49,31,21,23,False,Low,False,False,11.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0
986,Dominic Maroh,1. FC Koln,German Bundesliga,30,Slovenia,Defender,75,75,77,78,80,76,False,Medium,False,False,66.0,12.0,0.18181818181818182,0.0,0.0,37.0,0.5606060606060606
991,Dominik Kaiser,RB Leipzig,German Bundesliga,28,Germany,Midfielder,72,72,72,59,56,57,False,Medium,False,False,25.0,2.0,0.08,0.0,0.0,0.0,0.0
992,Dominik Kohr,Bayer 04 Leverkusen,German Bundesliga,23,Germany,Midfielder,76,81,88,77,68,68,False,Medium,False,False,97.0,38.0,0.3917525773195876,0.0,0.0,0.0,0.0
994,Dominik Stroh-Engel,Karlsruher SC,German 3. Liga,31,Germany,Forward,69,69,66,43,23,25,False,Medium,False,False,20.0,0.0,0.0,0.0,0.0,0.0,0.0
995,Dominique Heintz,1. FC Koln,German Bundesliga,23,Germany,Defender,78,82,70,83,77,78,False,Medium,False,False,65.0,11.0,0.16923076923076924,0.0,0.0,33.0,0.5076923076923077
996,Don Cowie,Heart of Midlothian,Scottish Premiership,34,Scotland,Midfielder,68,68,72,66,63,66,False,High,False,False,18.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0
997,Donald Love,Sunderland,English Championship,22,Scotland,Defender,60,68,62,56,60,55,False,Medium,False,False,13.0,1.0,0.07692307692307693,0.0,0.0,11.0,0.8461538461538461
1001,Doria,Olympique de Marseille,French Ligue 1,22,Brazil,Defender,72,78,74,74,74,68,False,Medium,False,False,23.0,4.0,0.17391304347826086,0.0,0.0,10.0,0.43478260869565216
1003,Dorian Leveque,PAOK Thessaloniki,Greek Super League,27,France,Defender,71,72,67,71,72,72,False,Medium,False,False,52.0,6.0,0.11538461538461539,0.0,0.0,21.0,0.40384615384615385
1004,Dorlan Pabon,Monterrey,Mexican Liga MX,29,Colombia,Midfielder,77,77,74,40,33,39,False,High,False,False,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,Douglas Costa,Juventus,Italian Serie A,26,Brazil,Midfielder,82,82,55,31,30,28,False,Low,False,False,50.0,2.0,0.04,0.0,0.0,0.0,0.0
1006,Douglas Santos,Hamburger SV,German Bundesliga,23,Brazil,Defender,75,81,66,68,76,70,False,Medium,False,False,23.0,4.0,0.17391304347826086,0.0,0.0,28.0,1.2173913043478262
1007,Dries Mertens,Napoli,Italian Serie A,30,Belgium,Midfielder,86,86,59,40,40,30,True,Low,False,False,132.0,20.0,0.15151515151515152,1.0,0.007575757575757576,0.0,0.0
1008,Duje Cop,Standard de Liege,Belgian First Division A,27,Croatia,Forward,74,75,59,30,30,25,False,Medium,False,False,78.0,11.0,0.14102564102564102,0.0,0.0,0.0,0.0
1009,Duncan Watmore,Sunderland,English Championship,23,England,Midfielder,69,74,46,30,35,28,False,Medium,False,False,37.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0
1011,Dusan Basta,Lazio,Italian Serie A,32,Serbia,Defender,80,80,76,82,80,78,False,High,False,False,135.0,14.0,0.1037037037037037,0.0,0.0,76.0,0.562962962962963
1013,Dusan Tadic,Southampton,English Premier League,28,Serbia,Midfielder,80,80,56,34,26,40,True,Low,False,False,98.0,8.0,0.08163265306122448,0.0,0.0,0.0,0.0
1014,Duvan Zapata,Sampdoria,Italian Serie A,26,Colombia,Forward,78,81,58,24,22,20,False,Medium,False,False,100.0,12.0,0.12,0.0,0.0,0.0,0.0
1015,Dwight Gayle,Newcastle United,English Premier League,26,England,Forward,75,78,46,21,13,12,False,Medium,False,False,64.0,4.0,0.0625,0.0,0.0,0.0,0.0
1016,Dwight Tiendalli,Oxford United,English League One,31,Netherlands,Defender,72,72,79,73,77,72,False,Medium,False,False,27.0,3.0,0.1111111111111111,0.0,0.0,17.0,0.6296296296296297
1017,Dylan Bahamboula,Dijon FCO,French Ligue 1,22,Congo,Midfielder,68,73,43,39,47,45,False,Medium,False,False,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1022,Eddy,Gimnastic de Tarragona,Spanish Segunda Division,24,Azerbaijan,Midfielder,66,72,77,61,62,57,False,Medium,False,False,11.0,3.0,0.2727272727272727,0.0,0.0,0.0,0.0
1024,Eden Hazard,Chelsea,English Premier League,26,Belgium,Midfielder,90,91,54,27,22,25,False,Medium,False,False,174.0,11.0,0.06321839080459771,0.0,0.0,0.0,0.0
1025,Eder,Inter,Italian Serie A,30,Italy,Forward,80,80,60,20,26,18,False,Medium,False,False,93.0,16.0,0.17204301075268819,0.0,0.0,0.0,0.0
1026,Edgar Barreto,Sampdoria,Italian Serie A,32,Paraguay,Midfielder,74,74,75,73,71,65,False,High,False,False,117.0,21.0,0.1794871794871795,1.0,0.008547008547008548,0.0,0.0
1027,Edgar Prib,Hannover 96,German Bundesliga,27,Russia,Midfielder,73,73,63,66,66,58,False,High,False,False,98.0,16.0,0.16326530612244897,0.0,0.0,0.0,0.0
1028,Edimilson Fernandes,West Ham United,English Premier League,21,Switzerland,Midfielder,69,81,60,59,55,53,False,Medium,False,False,28.0,4.0,0.14285714285714285,0.0,0.0,0.0,0.0
1029,Edin Dzeko,Roma,Italian Serie A,31,Bosnia Herzegovina,Forward,84,84,51,28,16,11,False,Medium,False,False,153.0,17.0,0.1111111111111111,1.0,0.006535947712418301,0.0,0.0
1030,Edinson Cavani,Paris Saint-Germain,French Ligue 1,30,Uruguay,Forward,87,87,84,45,27,24,False,High,False,False,167.0,18.0,0.10778443113772455,0.0,0.0,0.0,0.0
1031,Edoardo Goldaniga,Sassuolo,Italian Serie A,23,Italy,Defender,72,79,72,73,70,74,False,High,False,False,45.0,16.0,0.35555555555555557,1.0,0.022222222222222223,51.0,1.1333333333333333
1033,Edouard Butin,Stade Brestois 29,French Ligue 2,29,France,Forward,66,66,49,18,13,12,False,Medium,False,False,17.0,0.0,0.0,0.0,0.0,0.0,0.0
1034,Edson Braafheid,FC Utrecht,Holland Eredivisie,34,Netherlands,Defender,71,71,67,74,71,72,False,Medium,False,False,22.0,1.0,0.045454545454545456,0.0,0.0,10.0,0.45454545454545453
1035,Edu,Jeonbuk Hyundai Motors,Korean K League Classic,35,Brazil,Forward,68,68,70,47,41,44,False,Medium,False,False,11.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0
1038,Eduardo,Chelsea,English Premier League,34,Portugal,Forward,75,75,28,20,20,13,False,Medium,False,False,25.0,1.0,0.04,0.0,0.0,0.0,0.0
1040,Eduardo Vargas,Tigres U.A.N.L.,Mexican Liga MX,27,Chile,Forward,75,76,60,36,36,23,False,Low,False,False,75.0,9.0,0.12,0.0,0.0,0.0,0.0
1044,Eldin Jakupovic,Leicester City,English Premier League,32,Switzerland,Goalkeeper,72,72,45,12,11,13,False,Medium,False,False,26.0,0.0,0.0,0.0,0.0,22.0,0.8461538461538461
1045,Eliaquim Mangala,Manchester City,English Premier League,26,France,Defender,78,81,89,80,81,78,False,High,False,False,78.0,23.0,0.2948717948717949,1.0,0.01282051282051282,46.0,0.5897435897435898
1046,Elias Kachunga,Huddersfield Town,English Premier League,25,DR Congo,Forward,72,75,67,53,32,20,False,Medium,False,False,42.0,4.0,0.09523809523809523,0.0,0.0,0.0,0.0
1047,Eljero Elia,Istanbul Basaksehir FK,Turkish Super Lig,30,Netherlands,Forward,78,78,66,32,30,22,False,Medium,False,False,57.0,4.0,0.07017543859649122,0.0,0.0,0.0,0.0
1048,Elkin Soto,CD Once Caldas Manizales,Colombian Primera A,36,Colombia,Midfielder,72,72,69,68,67,64,False,Medium,False,False,65.0,9.0,0.13846153846153847,1.0,0.015384615384615385,0.0,0.0
1049,Elliott Bennett,Blackburn Rovers,English League One,28,Jamaica,Midfielder,69,69,56,61,64,52,False,Medium,False,False,26.0,3.0,0.11538461538461539,0.0,0.0,0.0,0.0
1050,Ellyes Skhiri,Montpellier Herault SC,French Ligue 1,22,Tunisia,Midfielder,74,80,72,75,68,68,False,Medium,False,False,51.0,4.0,0.0784313725490196,0.0,0.0,0.0,0.0
1051,Eloge Enza-Yamissi,Valenciennes FC,French Ligue 2,34,Central African Rep.,Midfielder,68,68,73,65,69,68,False,Medium,False,False,46.0,8.0,0.17391304347826086,0.0,0.0,0.0,0.0
1053,Emanuel Herrera,Lobos de la BUAP,Mexican Liga MX,30,Argentina,Forward,67,67,67,17,18,22,False,Low,False,False,39.0,0.0,0.0,0.0,0.0,0.0,0.0
1054,Emanuel Insua,Panathinaikos FC,Greek Super League,26,Argentina,Defender,71,74,82,71,72,68,False,Medium,False,False,12.0,4.0,0.3333333333333333,1.0,0.08333333333333333,10.0,0.8333333333333334
1055,Emanuel Mammana,Zenit St. Petersburg,Russian Premier League,21,Argentina,Defender,75,86,71,75,77,76,False,High,False,False,17.0,3.0,0.17647058823529413,0.0,0.0,8.0,0.47058823529411764
1056,Emanuel Pogatetz,LASK Linz,Austrian Bundesliga,34,Austria,Defender,68,68,81,69,62,70,False,Medium,False,False,23.0,7.0,0.30434782608695654,0.0,0.0,31.0,1.3478260869565217
