,Players,Position,Clubs,league,age,nationality,overall,Continent,Homegrown,Starts/Apps,Subbed Off/Apps,Overall Apps,Average Form,Goals/Apps,Assists/Apps,Clean Sheets/Apps
38,Pierre Emerick Aubameyang,Forward,ASSE,German Bundesliga,28,Gabon,88,Africa,False,0.972972972972973,0.16216216216216217,37.0,5.216216216216216,0.5135135135135135,0.24324324324324326,0.0
39,Zlatan Ibrahimovic,Forward,MUFC,English Premier League,35,Sweden,88,Europe,False,0.9642857142857143,0.0,28.0,5.214285714285714,0.6071428571428571,0.17857142857142858,0.0
40,Ciro Immobile,Forward,TOCA,Italian Serie A,27,Italy,83,Europe,True,0.8787878787878788,0.24242424242424243,33.0,5.212121212121212,0.6666666666666666,0.12121212121212122,0.0
41,Gonzalo Higuain,Forward,JUVE,Italian Serie A,29,Argentina,90,South America,False,0.8421052631578947,0.18421052631578946,38.0,5.2105263157894735,0.631578947368421,0.07894736842105263,0.0
42,Kevin De Bruyne,Midfielder,VFL,English Premier League,26,Belgium,89,Europe,False,1.0,0.11764705882352941,34.0,5.147058823529412,0.29411764705882354,0.5882352941176471,0.0
43,Ciro Immobile,Forward,LAZI,Italian Serie A,27,Italy,83,Europe,True,0.972972972972973,0.16216216216216217,37.0,5.135135135135135,0.6216216216216216,0.08108108108108109,0.0
44,Mauro Icardi,Forward,INTE,Italian Serie A,24,Argentina,84,South America,False,0.8951612903225806,0.23387096774193547,124.0,5.120967741935484,0.5725806451612904,0.16129032258064516,0.0
45,Diego Costa,Forward,CHEL,English Premier League,28,Spain,86,Europe,False,0.9662921348314607,0.34831460674157305,89.0,5.112359550561798,0.5842696629213483,0.1797752808988764,0.0
46,Ashley Cole,Defender,ROMA,USA Major League Soccer,36,England,71,Europe,False,1.0,0.0,11.0,5.090909090909091,0.0,0.0,0.8181818181818182
47,Alexis Sanchez,Forward,ARSL,English Premier League,28,Chile,89,South America,False,0.9514563106796117,0.3106796116504854,103.0,5.077669902912621,0.5145631067961165,0.23300970873786409,0.0
48,Mario Mandzukic,Forward,BM1,Italian Serie A,31,Croatia,83,Europe,False,0.7962962962962963,0.5185185185185185,54.0,5.055555555555555,0.6111111111111112,0.1111111111111111,0.0
49,Alexandre Lacazette,Forward,OLLY,English Premier League,26,France,85,Europe,False,0.9512195121951219,0.27439024390243905,164.0,5.054878048780488,0.5792682926829268,0.12804878048780488,0.0
50,Robin van Persie,Forward,MUFC,Turkish Super Lig,33,Netherlands,77,Europe,False,0.9069767441860465,0.23255813953488372,86.0,5.023255813953488,0.5581395348837209,0.1744186046511628,0.0
51,Chris David,Midfielder,FFC,Holland Eredivisie,24,Netherlands,63,Europe,False,0.0,0.0,1.0,5.0,1.0,0.0,0.0
52,Edin Dzeko,Forward,ROMA,Italian Serie A,31,Bosnia Herzegovina,84,Europe,False,0.7941176470588235,0.19117647058823528,68.0,4.9411764705882355,0.5441176470588235,0.20588235294117646,0.0
