,Players,club,league,age,nationality,Position,overall,potential,eur_value,injury_prone_trait,Previous Average Form,Current Average Form,Apps This Season,Plays in Top 5 Leagues,Homegrown
121,Hector Bellerin,Arsenal,English Premier League,22,Spain,Defender,81,88,21000000.0,False,3.595505617977528,2.806451612903226,31.0,True,True
122,Anthony Martial,Manchester United,English Premier League,21,France,Midfielder,82,90,33000000.0,False,3.593220338983051,3.7142857142857135,28.0,True,True
123,Leonardo Pavoletti,Cagliari,Italian Serie A,28,Italy,Forward,77,77,9000000.0,True,3.5901639344262297,3.333333333333333,27.0,True,True
124,Santi Cazorla,Arsenal,English Premier League,32,Spain,Midfielder,83,83,19500000.0,True,3.5891472868217056,0.0,0.0,True,True
125,Juan Mata,Manchester United,English Premier League,29,Spain,Midfielder,84,84,30500000.0,False,3.5849056603773586,2.923076923076924,26.0,True,True
126,Diafra Sakho,West Ham United,English Premier League,27,Senegal,Forward,75,76,8000000.0,True,3.5833333333333335,1.5714285714285714,14.0,True,False
127,Joshua King,Bournemouth,English Premier League,25,Norway,Forward,77,81,11500000.0,False,3.582089552238806,3.033333333333333,30.0,True,False
128,David Luiz,Chelsea,English Premier League,30,Brazil,Defender,86,86,33000000.0,False,3.5784313725490198,2.2,10.0,True,False
129,Dani Alves,Paris Saint-Germain,French Ligue 1,34,Brazil,Defender,84,84,9000000.0,False,3.577777777777778,0.0,0.0,True,False
130,Lucas Hernandez,Atletico Madrid,Spanish Primera Division,21,France,Defender,77,88,13500000.0,False,3.576923076923077,4.304347826086956,23.0,True,True
131,Djibril Sidibe,AS Monaco,French Ligue 1,24,France,Defender,79,82,13000000.0,False,3.576,0.0,0.0,True,True
132,Lorenzo Insigne,Napoli,Italian Serie A,26,Italy,Forward,85,86,45000000.0,False,3.569620253164557,3.96875,32.0,True,True
133,Hakan Calhanoglu,Milan,Italian Serie A,23,Turkey,Midfielder,79,83,16500000.0,False,3.5675675675675675,2.7777777777777777,27.0,True,False
134,Leighton Baines,Everton,English Premier League,32,England,Defender,82,82,12500000.0,False,3.556291390728477,2.5,18.0,True,True
135,Gregory van der Wiel,Cagliari,Italian Serie A,29,Netherlands,Defender,76,76,6000000.0,False,3.5555555555555554,1.0,5.0,True,False
136,Danijel Subasic,AS Monaco,French Ligue 1,32,Croatia,Goalkeeper,85,85,22000000.0,False,3.548611111111111,0.0,0.0,True,False
137,Andre Ayew,West Ham United,English Premier League,27,Ghana,Forward,79,79,13000000.0,False,3.5342465753424657,2.28,25.0,True,False
138,John Terry,Aston Villa,English Championship,36,England,Defender,77,77,1200000.0,False,3.5210084033613445,0.0,0.0,False,True
139,Serge Aurier,Tottenham Hotspur,English Premier League,24,Ivory Coast,Defender,81,85,19000000.0,False,3.5210084033613445,4.117647058823529,17.0,True,False
140,Khouma Babacar,Fiorentina,Italian Serie A,24,Senegal,Forward,76,81,10500000.0,False,3.5166666666666666,2.76,25.0,True,False
141,Laurent Koscielny,Arsenal,English Premier League,31,France,Defender,84,84,21000000.0,False,3.506666666666667,2.875,24.0,True,True
142,Seamus Coleman,Everton,English Premier League,28,Republic of Ireland,Defender,81,81,14000000.0,False,3.5033112582781456,3.0,8.0,True,False
143,Wilfried Bony,Swansea City,English Premier League,28,Ivory Coast,Forward,79,79,13000000.0,False,3.5,2.066666666666667,15.0,True,False
144,Massimo Maccarone,Brisbane Roar,Australian A-League,37,Italy,Forward,75,75,2400000.0,False,3.494949494949495,0.0,0.0,False,True
145,Junior Stanislas,Bournemouth,English Premier League,27,England,Midfielder,73,73,4200000.0,False,3.4761904761904763,3.4736842105263164,19.0,True,True
146,Francois Clerc,GFC Ajaccio,French Ligue 2,34,France,Defender,70,70,500000.0,True,3.4705882352941178,0.0,0.0,False,True
147,Kevin Volland,Bayer 04 Leverkusen,German Bundesliga,24,Germany,Forward,80,83,19000000.0,False,3.4705882352941178,4.571428571428571,28.0,True,True
148,Gregoire Defrel,Roma,Italian Serie A,26,France,Midfielder,77,79,11000000.0,True,3.46875,1.5714285714285714,14.0,True,True
149,Branislav Ivanovic,Zenit St. Petersburg,Russian Premier League,33,Serbia,Defender,82,82,9000000.0,False,3.461038961038961,0.0,0.0,False,False
150,Sergi Enrich,SD Eibar,Spanish Primera Division,27,Spain,Forward,80,81,17500000.0,False,3.460526315789474,2.4210526315789482,19.0,True,True
151,Jordi Alba,FC Barcelona,Spanish Primera Division,28,Spain,Defender,85,85,30500000.0,False,3.453125,4.896551724137932,29.0,True,True
152,Daniel Ginczek,VfB Stuttgart,German Bundesliga,26,Germany,Forward,75,77,8000000.0,True,3.4523809523809526,2.8421052631578947,19.0,True,True
153,Ivan Rakitic,FC Barcelona,Spanish Primera Division,29,Croatia,Midfielder,87,87,48500000.0,False,3.4464285714285716,2.4,30.0,True,False
154,Ikechukwu Uche,Gimnastic de Tarragona,Spanish Segunda Division,33,Nigeria,Forward,71,71,1500000.0,True,3.4464285714285716,0.0,0.0,False,False
155,Andy Carroll,West Ham United,English Premier League,28,England,Forward,78,78,10500000.0,True,3.44,2.333333333333333,12.0,True,True
156,Nils Petersen,SC Freiburg,German Bundesliga,28,Germany,Forward,76,76,8000000.0,False,3.43859649122807,4.0,28.0,True,True
157,Thibaut Courtois,Chelsea,English Premier League,25,Belgium,Goalkeeper,89,92,59000000.0,False,3.4363636363636365,3.21875,32.0,True,False
158,Mario Balotelli,OGC Nice,French Ligue 1,26,Italy,Forward,82,82,24500000.0,False,3.4310344827586206,0.0,0.0,True,True
159,Jonathan Viera,UD Las Palmas,Spanish Primera Division,27,Spain,Midfielder,82,82,23000000.0,False,3.4285714285714284,2.9565217391304346,23.0,True,True
160,Daniel Didavi,VfL Wolfsburg,German Bundesliga,27,Germany,Midfielder,80,81,17000000.0,True,3.4285714285714284,3.7586206896551726,29.0,True,True
161,Javi Guerra,Rayo Vallecano,Spanish Segunda Division,35,Spain,Forward,72,72,1400000.0,False,3.4272727272727272,0.0,0.0,False,True
162,Callum Wilson,Bournemouth,English Premier League,25,England,Forward,75,79,8500000.0,True,3.4242424242424243,3.583333333333333,24.0,True,True
163,Martin Caceres,Hellas Verona,Italian Serie A,30,Uruguay,Defender,77,77,6500000.0,True,3.423076923076923,2.8823529411764706,17.0,True,False
164,Marquinhos,Paris Saint-Germain,French Ligue 1,23,Brazil,Defender,83,89,30500000.0,False,3.4198473282442747,0.0,0.0,True,False
165,Salvatore Sirigu,Torino,Italian Serie A,30,Italy,Goalkeeper,79,79,8000000.0,False,3.4173228346456694,2.9696969696969697,33.0,True,True
166,Karim Bellarabi,Bayer 04 Leverkusen,German Bundesliga,27,Germany,Midfielder,82,82,23000000.0,False,3.4051724137931036,2.05,20.0,True,True
167,Adem Ljajic,Torino,Italian Serie A,25,Serbia,Midfielder,79,80,15000000.0,False,3.404109589041096,3.869565217391304,23.0,True,False
