,Players,club,league,age,nationality,Position,overall,potential,eur_value,injury_prone_trait,Previous Average Form,Current Average Form,Apps This Season,Plays in Top 5 Leagues,Homegrown
390,Johannes Geis,Sevilla FC,Spanish Primera Division,23,Germany,Defender,77,80,9500000.0,False,2.9173553719008263,1.2083333333333333,12.0,True,True
391,Kieran Trippier,Tottenham Hotspur,English Premier League,26,England,Defender,78,79,10000000.0,False,2.9107142857142856,3.0476190476190474,21.0,True,True
392,Marcel Heller,FC Augsburg,German Bundesliga,31,Germany,Midfielder,74,74,4900000.0,False,2.9076923076923076,1.7272727272727273,22.0,True,True
393,Henri Bedimo,Olympique de Marseille,French Ligue 1,33,Cameroon,Defender,72,72,1200000.0,False,2.9069767441860463,0.0,0.0,True,False
394,Raphael Varane,Real Madrid CF,Spanish Primera Division,24,France,Defender,85,92,46500000.0,False,2.9047619047619047,2.8,25.0,True,True
395,Ralf Fahrmann,FC Schalke 04,German Bundesliga,28,Germany,Goalkeeper,84,85,25000000.0,False,2.9043478260869566,3.2666666666666666,30.0,True,True
396,Bernd Leno,Bayer 04 Leverkusen,German Bundesliga,25,Germany,Goalkeeper,85,88,34000000.0,False,2.904191616766467,2.6666666666666665,30.0,True,True
397,Pizzi,SL Benfica,Portuguese Primeira Liga,27,Portugal,Midfielder,82,82,23000000.0,False,2.903225806451613,0.0,0.0,False,False
398,Jordan Henderson,Liverpool,English Premier League,27,England,Midfielder,82,84,21500000.0,False,2.902097902097902,2.260869565217391,23.0,True,True
399,Kalidou Koulibaly,Napoli,Italian Serie A,26,Senegal,Defender,84,87,32500000.0,False,2.897727272727273,4.580645161290323,31.0,True,False
400,Raul Bobadilla,Borussia Monchengladbach,German Bundesliga,30,Paraguay,Forward,78,78,10000000.0,False,2.8969072164948453,1.2307692307692308,13.0,True,False
401,Christian Maggio,Napoli,Italian Serie A,35,Italy,Defender,75,75,1400000.0,False,2.8969072164948453,2.769230769230769,13.0,True,True
402,Raphael Guerreiro,Borussia Dortmund,German Bundesliga,23,Portugal,Defender,81,86,24000000.0,False,2.8968253968253967,1.375,8.0,True,False
403,Nathaniel Clyne,Liverpool,English Premier League,26,England,Defender,82,84,22000000.0,False,2.8963414634146343,6.0,1.0,True,True
404,Pedro Leon,SD Eibar,Spanish Primera Division,30,Spain,Midfielder,80,80,14000000.0,False,2.892405063291139,2.6666666666666665,9.0,True,True
405,Mexer,Stade Rennais FC,French Ligue 1,28,Mozambique,Defender,77,78,8000000.0,False,2.891891891891892,0.0,0.0,True,False
406,Suso,Milan,Italian Serie A,23,Spain,Midfielder,82,87,29500000.0,False,2.891089108910891,3.2580645161290325,31.0,True,True
407,Admir Mehmedi,Bayer 04 Leverkusen,German Bundesliga,26,Switzerland,Forward,76,77,9000000.0,False,2.889908256880734,2.8823529411764706,17.0,True,False
408,Samir Handanovic,Inter,Italian Serie A,32,Slovenia,Goalkeeper,87,87,29000000.0,False,2.889502762430939,3.696969696969697,33.0,True,False
409,Romain Thomas,Angers SCO,French Ligue 1,29,France,Defender,80,80,11500000.0,False,2.888888888888889,0.0,0.0,True,True
410,Yoan Cardinale,OGC Nice,French Ligue 1,23,France,Goalkeeper,79,84,12000000.0,False,2.8870967741935485,0.0,0.0,True,True
411,Morgan Sanson,Olympique de Marseille,French Ligue 1,22,France,Midfielder,80,86,20000000.0,False,2.8859649122807016,0.0,0.0,True,True
412,Ola Toivonen,Toulouse FC,French Ligue 1,30,Sweden,Forward,75,75,6500000.0,False,2.882978723404255,0.0,0.0,True,False
413,Christophe Mandanne,La Berrichonne de Chateauroux,French Ligue 2,32,France,Midfielder,71,71,1900000.0,False,2.8813559322033897,0.0,0.0,False,True
414,Joel Robles,Everton,English Premier League,27,Spain,Goalkeeper,74,76,4600000.0,False,2.880952380952381,0.0,0.0,True,True
415,Erik Durm,Borussia Dortmund,German Bundesliga,25,Germany,Defender,77,79,9000000.0,True,2.876923076923077,0.0,0.0,True,True
416,Rodri,C.D. Leonesa S.A.D.,Spanish Segunda Division,27,Spain,Forward,70,71,2100000.0,False,2.875,0.0,0.0,False,True
417,Federico Bernardeschi,Juventus,Italian Serie A,23,Italy,Midfielder,82,88,30500000.0,False,2.8732394366197185,3.1052631578947367,19.0,True,True
418,Timo Horn,1. FC Koln,German Bundesliga,24,Germany,Goalkeeper,84,90,31000000.0,False,2.872093023255814,1.5666666666666669,30.0,True,True
419,Shane Long,Southampton,English Premier League,30,Republic of Ireland,Forward,76,76,7500000.0,False,2.871794871794872,2.0,26.0,True,False
420,Jordan Ayew,Swansea City,English Premier League,25,Ghana,Forward,76,77,9500000.0,False,2.8680555555555554,3.0645161290322585,31.0,True,False
421,Remy Riou,Alanyaspor,Turkish Super Lig,29,France,Goalkeeper,74,74,3800000.0,False,2.8666666666666667,0.0,0.0,False,True
422,Jeremy Morel,Olympique Lyonnais,French Ligue 1,33,France,Defender,75,75,2700000.0,False,2.8639455782312924,0.0,0.0,True,True
423,Marcel Schmelzer,Borussia Dortmund,German Bundesliga,29,Germany,Defender,80,80,11000000.0,False,2.861788617886179,1.5,16.0,True,True
424,Charlie Daniels,Bournemouth,English Premier League,30,England,Defender,75,75,4800000.0,False,2.859154929577465,2.21875,32.0,True,True
425,Issa Cissokho,Amiens SC Football,French Ligue 1,32,Senegal,Defender,71,71,1300000.0,False,2.858695652173913,0.0,0.0,True,False
426,Willy Caballero,Chelsea,English Premier League,35,Argentina,Goalkeeper,79,79,3000000.0,False,2.8556701030927836,3.0,2.0,True,False
427,Borja Valero,Inter,Italian Serie A,32,Spain,Midfielder,83,83,20000000.0,False,2.8545454545454545,1.875,32.0,True,True
428,Nani,Lazio,Italian Serie A,30,Portugal,Midfielder,83,83,24500000.0,False,2.8541666666666665,2.466666666666667,15.0,True,False
429,Alessandro Schopf,FC Schalke 04,German Bundesliga,23,Austria,Midfielder,77,82,12000000.0,False,2.8536585365853657,1.3846153846153846,13.0,True,False
430,Fabio Coentrao,Sporting CP,Portuguese Primeira Liga,29,Portugal,Defender,77,77,6500000.0,False,2.8518518518518516,0.0,0.0,False,False
431,Matija Nastasic,FC Schalke 04,German Bundesliga,24,Serbia,Defender,80,84,16500000.0,True,2.8513513513513513,2.333333333333333,24.0,True,False
432,Roberto Inglese,Chievo Verona,Italian Serie A,25,Italy,Forward,75,78,8500000.0,False,2.85,3.6206896551724137,29.0,True,True
433,Jose Angel,SD Eibar,Spanish Primera Division,27,Spain,Defender,74,74,4600000.0,False,2.85,2.9615384615384617,26.0,True,True
434,Samir Nasri,Antalyaspor,Turkish Super Lig,30,France,Midfielder,82,82,21000000.0,False,2.8469387755102042,0.0,0.0,False,True
435,Florian Niederlechner,SC Freiburg,German Bundesliga,26,Germany,Forward,76,77,9000000.0,False,2.8444444444444446,2.6,10.0,True,True
436,Diego Perotti,Roma,Italian Serie A,28,Argentina,Forward,81,81,18000000.0,False,2.8389830508474576,3.217391304347826,23.0,True,False
437,Oswaldo Vizcarrondo,ES Troyes AC,French Ligue 1,33,Venezuela,Defender,73,73,1600000.0,False,2.83739837398374,0.0,0.0,True,False
438,Anthony Martial,Manchester United,English Premier League,21,France,Forward,82,90,33000000.0,False,2.836734693877551,0.0,0.0,True,True
439,Jan Vertonghen,Tottenham Hotspur,English Premier League,30,Belgium,Defender,85,85,28500000.0,False,2.834437086092715,3.121212121212121,33.0,True,False
440,Jese,Stoke City,English Premier League,24,Spain,Forward,77,81,11500000.0,False,2.8333333333333335,2.230769230769231,13.0,True,True
441,Kevin Theophile-Catherine,AS Saint-Etienne,French Ligue 1,27,France,Defender,76,77,7500000.0,False,2.8333333333333335,0.0,0.0,True,True
442,Sloan Privat,En Avant de Guingamp,French Ligue 1,27,France,Forward,74,74,6000000.0,False,2.8333333333333335,0.0,0.0,True,True
443,Lorenzo Pellegrini,Roma,Italian Serie A,21,Italy,Midfielder,77,85,13000000.0,False,2.8333333333333335,2.590909090909091,22.0,True,True
444,Jeremy Mathieu,Sporting CP,Portuguese Primeira Liga,33,France,Defender,80,80,6000000.0,True,2.830357142857143,0.0,0.0,False,True
445,Simone Zaza,Valencia CF,Spanish Primera Division,26,Italy,Forward,81,82,21000000.0,False,2.828828828828829,3.533333333333333,30.0,True,True
446,Kevin Nolan,Notts County,English League Two,35,England,Midfielder,65,65,230000.0,False,2.8282828282828283,0.0,0.0,False,True
447,Jonathan Walters,Burnley,English Premier League,33,Republic of Ireland,Midfielder,75,75,4200000.0,False,2.8223684210526314,0.0,0.0,True,False
448,Clement Grenier,Olympique Lyonnais,French Ligue 1,26,France,Midfielder,74,75,6500000.0,True,2.8222222222222224,0.0,0.0,True,True
449,Kostas Manolas,Roma,Italian Serie A,26,Greece,Defender,84,86,31500000.0,False,2.8217821782178216,3.0384615384615383,26.0,True,False
450,Aaron Cresswell,West Ham United,English Premier League,27,England,Defender,76,77,7000000.0,False,2.8217821782178216,2.4516129032258065,31.0,True,True
451,Dejan Lovren,Liverpool,English Premier League,27,Croatia,Defender,81,83,17500000.0,False,2.8203125,3.1538461538461537,26.0,True,False
452,Glen Johnson,Stoke City,English Premier League,32,England,Defender,75,75,3700000.0,False,2.8181818181818183,0.2857142857142857,7.0,True,True
453,Victor Casadesus,CD Tenerife,Spanish Segunda Division,32,Spain,Forward,71,71,1900000.0,False,2.8181818181818183,0.0,0.0,False,True
454,Xabier Prieto,Real Sociedad,Spanish Primera Division,33,Spain,Midfielder,79,79,7500000.0,False,2.810344827586207,3.208333333333333,24.0,True,True
455,Simon Mignolet,Liverpool,English Premier League,29,Belgium,Goalkeeper,81,81,12000000.0,False,2.810344827586207,2.9473684210526314,19.0,True,False
456,Stefan Radu,Lazio,Italian Serie A,30,Romania,Defender,79,79,9000000.0,True,2.8086956521739133,2.2592592592592595,27.0,True,False
457,Alessio Romagnoli,Milan,Italian Serie A,22,Italy,Defender,79,87,16000000.0,False,2.8076923076923075,3.16,25.0,True,True
458,Nacer Chadli,West Bromwich Albion,English Premier League,27,Belgium,Midfielder,78,78,11000000.0,False,2.80672268907563,3.0,3.0,True,False
459,Ross Barkley,Everton,English Premier League,23,England,Midfielder,81,85,23000000.0,False,2.8055555555555554,2.0,1.0,True,True
460,Kelechi Iheanacho,Leicester City,English Premier League,20,Nigeria,Forward,75,86,11500000.0,False,2.8043478260869565,1.9411764705882355,17.0,True,False
461,Joao Pedro,Cagliari,Italian Serie A,25,Brazil,Midfielder,75,79,8500000.0,False,2.803921568627451,2.772727272727273,22.0,True,False
462,Eric Bailly,Manchester United,English Premier League,23,Ivory Coast,Defender,84,89,35500000.0,False,2.803030303030303,3.9090909090909087,11.0,True,False
463,Oriol Riera,Western Sydney Wanderers,Australian A-League,30,Spain,Forward,73,73,3900000.0,False,2.801980198019802,0.0,0.0,False,True
464,Danny Welbeck,Arsenal,English Premier League,26,England,Forward,80,81,17500000.0,True,2.80188679245283,2.739130434782609,23.0,True,True
465,Mikel San Jose,Athletic Club de Bilbao,Spanish Primera Division,28,Spain,Defender,80,80,14500000.0,False,2.801282051282051,2.5217391304347827,23.0,True,True
466,Federico Marchetti,Lazio,Italian Serie A,34,Italy,Goalkeeper,80,80,6000000.0,True,2.7954545454545454,0.0,0.0,True,True
467,Ilkay Gundogan,Manchester City,English Premier League,26,Germany,Midfielder,85,87,46000000.0,True,2.793103448275862,2.24,25.0,True,True
468,Jimmy Cabot,FC Lorient,French Ligue 2,23,France,Midfielder,73,79,5500000.0,False,2.792452830188679,0.0,0.0,False,True
469,James Milner,Liverpool,English Premier League,31,England,Midfielder,80,80,9500000.0,False,2.7908496732026142,1.6896551724137931,29.0,True,True
470,Mohammed Abdellaoue,Valerenga Fotball,Norwegian Eliteserien,31,Norway,Forward,69,69,950000.0,True,2.789473684210526,0.0,0.0,False,False
471,Benik Afobe,Bournemouth,English Premier League,24,DR Congo,Forward,74,79,7500000.0,False,2.782608695652174,1.2941176470588236,17.0,True,False
472,Jose Fonte,West Ham United,English Premier League,33,Portugal,Defender,79,79,5000000.0,False,2.7823529411764705,3.0,8.0,True,False
473,Loris Karius,Liverpool,English Premier League,24,Germany,Goalkeeper,80,84,14000000.0,False,2.782178217821782,4.133333333333334,15.0,True,True
474,Sebastien Corchia,Sevilla FC,Spanish Primera Division,26,France,Defender,79,80,12000000.0,False,2.7810650887573964,1.6666666666666667,12.0,True,True
475,Franco Di Santo,FC Schalke 04,German Bundesliga,28,Argentina,Forward,75,75,7000000.0,False,2.7768595041322315,2.2962962962962963,27.0,True,False
476,Sandro Wagner,TSG 1899 Hoffenheim,German Bundesliga,29,Germany,Forward,79,79,12500000.0,False,2.7745098039215685,4.476190476190476,21.0,True,True
477,Matteo Darmian,Manchester United,English Premier League,27,Italy,Defender,80,81,13500000.0,False,2.7739726027397262,3.0,6.0,True,True
478,Daniel Wass,RC Celta de Vigo,Spanish Primera Division,28,Denmark,Defender,80,80,14500000.0,False,2.7719298245614037,3.3,30.0,True,False
479,Floyd Ayite,Fulham,English Championship,28,Togo,Midfielder,72,72,3200000.0,False,2.769230769230769,0.0,0.0,False,False
480,Dame N'Doye,Trabzonspor,Turkish Super Lig,32,Senegal,Forward,71,71,1900000.0,False,2.769230769230769,0.0,0.0,False,False
481,Ronny Rodelin,SM Caen,French Ligue 1,27,France,Midfielder,73,73,4200000.0,False,2.765957446808511,0.0,0.0,True,True
482,Scott Dann,Crystal Palace,English Premier League,30,England,Defender,77,77,6500000.0,False,2.7641509433962264,1.6470588235294117,17.0,True,True
483,Carlos Martinez,Real Sociedad,Spanish Primera Division,31,Spain,Defender,76,76,5000000.0,False,2.764044943820225,0.0,0.0,True,True
484,Roman Neustadter,Fenerbahce SK,Turkish Super Lig,29,Russia,Defender,73,73,3100000.0,False,2.762295081967213,0.0,0.0,False,False
485,Wylan Cyprien,OGC Nice,French Ligue 1,22,France,Midfielder,79,87,18500000.0,False,2.7580645161290325,0.0,0.0,True,True
486,Rony Lopes,AS Monaco,French Ligue 1,21,Portugal,Midfielder,77,84,12500000.0,False,2.7580645161290325,0.0,0.0,True,False
487,Yann Jouffre,FC Metz,French Ligue 1,32,France,Midfielder,73,73,3100000.0,True,2.7578125,0.0,0.0,True,True
488,Valter Birsa,Chievo Verona,Italian Serie A,30,Slovenia,Forward,80,80,14000000.0,False,2.7573529411764706,2.6333333333333333,30.0,True,False
489,Yannick Bolasie,Everton,English Premier League,28,DR Congo,Midfielder,78,78,10500000.0,False,2.7572815533980584,2.0769230769230766,13.0,True,False
490,Gael Danic,FC Lorient,French Ligue 2,35,France,Midfielder,69,69,450000.0,True,2.7560975609756095,0.0,0.0,False,True
491,Filip Kostic,Hamburger SV,German Bundesliga,24,Serbia,Forward,78,83,14000000.0,False,2.7555555555555555,3.1153846153846154,26.0,True,False
492,Cheikh M'Bengue,AS Saint-Etienne,French Ligue 1,28,Senegal,Defender,71,71,1900000.0,False,2.753968253968254,0.0,0.0,True,False
493,Aleix Vidal,FC Barcelona,Spanish Primera Division,27,Spain,Forward,76,76,6500000.0,False,2.753623188405797,0.0,0.0,True,True
494,Giampaolo Pazzini,Hellas Verona,Italian Serie A,32,Italy,Forward,76,76,6000000.0,False,2.7524752475247523,2.3809523809523805,28.0,True,True
495,Roberto Rosales,Malaga CF,Spanish Primera Division,28,Venezuela,Defender,77,77,7000000.0,False,2.7524752475247523,1.935483870967742,31.0,True,False
496,Alban Lafont,Toulouse FC,French Ligue 1,18,France,Goalkeeper,77,89,11500000.0,False,2.75,0.0,0.0,True,True
497,Steve Mandanda,Olympique de Marseille,French Ligue 1,32,France,Goalkeeper,81,81,10000000.0,False,2.748427672955975,0.0,0.0,True,True
498,Kieran Gibbs,West Bromwich Albion,English Premier League,27,England,Defender,78,78,8500000.0,True,2.7475728155339807,2.034482758620689,29.0,True,True
499,Bruno Peres,Roma,Italian Serie A,27,Brazil,Defender,78,78,11000000.0,False,2.7473684210526317,3.0,15.0,True,False
500,Roman Burki,Borussia Dortmund,German Bundesliga,26,Switzerland,Goalkeeper,84,86,26000000.0,False,2.74468085106383,2.7241379310344827,29.0,True,False
501,Hugo Campagnaro,Pescara,Italian Serie B,37,Argentina,Defender,70,70,240000.0,True,2.7435897435897436,0.0,0.0,False,False
502,Danilo D'Ambrosio,Inter,Italian Serie A,28,Italy,Defender,75,75,5500000.0,False,2.7421875,3.866666666666666,30.0,True,True
503,Davie Selke,Hertha BSC Berlin,German Bundesliga,22,Germany,Forward,72,82,5000000.0,False,2.740740740740741,3.0434782608695654,23.0,True,True
504,Franco Brienza,Bari,Italian Serie B,38,Italy,Midfielder,75,75,2200000.0,False,2.7373737373737375,0.0,0.0,False,True
505,Pape Souare,Crystal Palace,English Premier League,27,Senegal,Defender,73,74,3700000.0,False,2.736842105263158,0.0,0.0,True,False
506,Kevin Berigaud,Montpellier Herault SC,French Ligue 1,29,France,Forward,70,70,1800000.0,False,2.736111111111111,0.0,0.0,True,True
507,Victor Ruiz,Villarreal CF,Spanish Primera Division,28,Spain,Defender,82,83,20000000.0,False,2.7338709677419355,3.4347826086956523,23.0,True,True
508,Alexandru Maxim,1. FSV Mainz 05,German Bundesliga,26,Romania,Midfielder,75,76,8000000.0,False,2.7333333333333334,2.1111111111111107,18.0,True,False
509,Sergio Araujo,AEK Athens,Greek Super League,25,Argentina,Forward,74,78,7500000.0,False,2.731707317073171,1.0,2.0,False,False
510,Sami Khedira,Juventus,Italian Serie A,30,Germany,Midfielder,84,84,29000000.0,True,2.73,3.739130434782609,23.0,True,True
511,Roberto Torres,CA Osasuna,Spanish Segunda Division,28,Spain,Midfielder,76,76,7500000.0,False,2.7285714285714286,0.0,0.0,False,True
512,Dusan Basta,Lazio,Italian Serie A,32,Serbia,Defender,80,80,8000000.0,False,2.725925925925926,1.9,10.0,True,False
513,Wes Morgan,Leicester City,English Premier League,33,Jamaica,Defender,77,77,3600000.0,False,2.7254901960784315,2.0357142857142856,28.0,True,False
514,Senad Lulic,Lazio,Italian Serie A,31,Bosnia Herzegovina,Midfielder,78,78,9000000.0,False,2.7248322147651005,2.2666666666666666,30.0,True,False
515,Foued Kadir,AD Alcorcon,Spanish Segunda Division,33,Algeria,Midfielder,67,67,475000.0,False,2.7246376811594204,0.0,0.0,False,False
516,Martin Skrtel,Fenerbahce SK,Turkish Super Lig,32,Slovakia,Defender,81,81,10000000.0,False,2.7241379310344827,0.0,0.0,False,False
517,Rune Jarstein,Hertha BSC Berlin,German Bundesliga,32,Norway,Goalkeeper,82,82,12500000.0,False,2.723076923076923,2.3703703703703702,27.0,True,False
518,Coke,FC Schalke 04,German Bundesliga,30,Spain,Defender,79,79,9000000.0,False,2.7216494845360826,0.0,0.0,True,True
519,Marco Parolo,Lazio,Italian Serie A,32,Italy,Midfielder,81,81,13500000.0,False,2.7209302325581395,3.0967741935483866,31.0,True,True
520,Timothee Kolodziejczak,Tigres U.A.N.L.,Mexican Liga MX,25,France,Defender,77,81,9500000.0,True,2.7203389830508473,0.0,0.0,False,True
521,Ibai Gomez,Deportivo Alaves,Spanish Primera Division,27,Spain,Forward,76,76,8000000.0,False,2.7196261682242993,3.1379310344827585,29.0,True,True
522,Gianluca Caprari,Sampdoria,Italian Serie A,23,Italy,Midfielder,73,80,5500000.0,False,2.716666666666667,2.3225806451612905,31.0,True,True
523,Anthony Mounier,Panathinaikos FC,Greek Super League,29,France,Midfielder,76,76,7500000.0,False,2.7142857142857144,0.0,0.0,False,True
524,Andreas Christensen,Chelsea,English Premier League,21,Denmark,Defender,81,90,24000000.0,False,2.7142857142857144,2.84,25.0,True,False
525,Alessandro Florenzi,Roma,Italian Serie A,26,Italy,Midfielder,82,84,22000000.0,False,2.7133333333333334,2.3793103448275863,29.0,True,True
526,Cristian Tello,Real Betis Balompie,Spanish Primera Division,25,Spain,Forward,77,78,10500000.0,False,2.7127659574468086,2.4642857142857144,28.0,True,True
527,Fabian Orellana,Valencia CF,Spanish Primera Division,31,Chile,Forward,80,80,13000000.0,False,2.712418300653595,2.833333333333333,12.0,True,False
528,Andre Wisdom,Derby County,English Championship,24,England,Defender,71,75,2600000.0,False,2.7083333333333335,0.0,0.0,False,True
529,M'Baye Niang,Torino,Italian Serie A,22,France,Forward,78,85,14500000.0,False,2.706896551724138,2.5217391304347827,23.0,True,True
530,Andrea Masiello,Atalanta,Italian Serie A,31,Italy,Defender,77,77,6000000.0,False,2.7051282051282053,3.4285714285714284,28.0,True,True
531,Emiliano Viviano,Sampdoria,Italian Serie A,31,Italy,Goalkeeper,82,82,13500000.0,True,2.7043478260869565,2.8260869565217392,23.0,True,True
532,Maxi Moralez,New York City Football Club,USA Major League Soccer,30,Argentina,Midfielder,72,72,2900000.0,True,2.7037037037037037,0.0,0.0,False,False
533,Radja Nainggolan,Roma,Italian Serie A,29,Belgium,Midfielder,86,86,42500000.0,False,2.702857142857143,3.1481481481481484,27.0,True,False
534,Raul Albiol,Napoli,Italian Serie A,31,Spain,Defender,82,82,15000000.0,False,2.7027027027027026,4.296296296296297,27.0,True,True
535,Jeffrey Gouweleeuw,FC Augsburg,German Bundesliga,25,Netherlands,Defender,77,79,9000000.0,False,2.7,2.4782608695652173,23.0,True,False
536,Thorgan Hazard,Borussia Monchengladbach,German Bundesliga,24,Belgium,Midfielder,80,84,19500000.0,False,2.7,3.870967741935484,31.0,True,False
537,Kiko Casilla,Real Madrid CF,Spanish Primera Division,30,Spain,Goalkeeper,80,80,9500000.0,False,2.7,3.25,8.0,True,True
538,Lorenzo De Silvestri,Torino,Italian Serie A,29,Italy,Defender,76,76,6000000.0,False,2.6984126984126986,3.4838709677419355,31.0,True,True
539,Marcel Risse,1. FC Koln,German Bundesliga,27,Germany,Midfielder,77,77,9500000.0,False,2.6979166666666665,2.333333333333333,12.0,True,True
540,Issiar Dia,Evkur Yeni Malatyaspor,Turkish Super Lig,30,Senegal,Midfielder,70,70,1700000.0,False,2.697674418604651,0.0,0.0,False,False
541,Wes Hoolahan,Norwich City,English Championship,35,Republic of Ireland,Midfielder,77,77,3900000.0,False,2.6962025316455698,0.0,0.0,False,False
542,Jason Puncheon,Crystal Palace,English Premier League,31,England,Forward,74,74,4800000.0,False,2.6956521739130435,1.1,10.0,True,True
543,Andreas Weimann,Derby County,English Championship,25,Austria,Forward,69,69,1100000.0,False,2.693877551020408,0.0,0.0,False,False
544,Omer Toprak,Borussia Dortmund,German Bundesliga,27,Turkey,Defender,83,84,24500000.0,True,2.6929133858267718,2.8260869565217392,23.0,True,False
545,Sergio Rico,Sevilla FC,Spanish Primera Division,23,Spain,Goalkeeper,82,87,21500000.0,False,2.6923076923076925,2.583333333333333,24.0,True,True
546,Romulo,Hellas Verona,Italian Serie A,30,Italy,Midfielder,74,74,5000000.0,False,2.6923076923076925,2.46875,32.0,True,True
547,Roberto Soriano,Villarreal CF,Spanish Primera Division,26,Italy,Midfielder,80,81,17500000.0,False,2.6923076923076925,1.3333333333333333,21.0,True,True
548,Tim Howard,Colorado Rapids,USA Major League Soccer,38,United States,Goalkeeper,77,77,600000.0,False,2.6923076923076925,0.0,0.0,False,False
549,Marc Andre ter Stegen,FC Barcelona,Spanish Primera Division,25,Germany,Goalkeeper,85,89,35500000.0,False,2.690909090909091,4.0606060606060606,33.0,True,True
550,Yuto Nagatomo,Inter,Italian Serie A,30,Japan,Defender,73,73,2900000.0,False,2.690265486725664,2.4166666666666665,12.0,True,False
551,Pablo de Blasis,1. FSV Mainz 05,German Bundesliga,29,Argentina,Midfielder,77,77,8500000.0,False,2.688311688311688,2.761904761904762,21.0,True,False
552,Miguel Angel Moya,Atletico Madrid,Spanish Primera Division,33,Spain,Goalkeeper,81,81,9000000.0,False,2.6881720430107525,4.166666666666667,6.0,True,True
553,Diego Farias,Cagliari,Italian Serie A,27,Brazil,Forward,74,75,6500000.0,False,2.683333333333333,2.1666666666666665,24.0,True,False
554,Leonardo Ulloa,Leicester City,English Premier League,30,Argentina,Forward,74,74,5500000.0,False,2.682926829268293,1.0,11.0,True,False
555,Jordan Veretout,Fiorentina,Italian Serie A,24,France,Midfielder,77,83,12000000.0,False,2.682926829268293,3.15625,32.0,True,True
556,Vladimir Darida,Hertha BSC Berlin,German Bundesliga,26,Czech Republic,Midfielder,79,80,14500000.0,False,2.6818181818181817,1.8823529411764703,17.0,True,False
557,Maximilian Philipp,Borussia Dortmund,German Bundesliga,23,Germany,Forward,78,83,14000000.0,False,2.68,3.9411764705882364,17.0,True,True
558,Dario Lezcano,FC Ingolstadt 04,German 2. Bundesliga,27,Paraguay,Forward,74,75,6500000.0,False,2.68,0.0,0.0,False,False
559,Memphis Depay,Olympique Lyonnais,French Ligue 1,23,Netherlands,Midfielder,79,84,17000000.0,False,2.68,0.0,0.0,True,False
560,Olivier Veigneau,Kasimpasa SK,Turkish Super Lig,31,France,Defender,73,73,2600000.0,False,2.6792452830188678,0.0,0.0,False,True
561,Jerome Prior,Girondins de Bordeaux,French Ligue 1,21,France,Goalkeeper,72,80,3500000.0,False,2.6785714285714284,0.0,0.0,True,True
562,Willian,Chelsea,English Premier League,28,Brazil,Midfielder,84,84,31500000.0,False,2.6769230769230767,3.15625,32.0,True,False
563,Kevin-Prince Boateng,Eintracht Frankfurt,German Bundesliga,30,Ghana,Midfielder,80,80,14500000.0,True,2.675438596491228,2.8620689655172415,29.0,True,False
564,Neven Subotic,Borussia Dortmund,German Bundesliga,28,Serbia,Defender,77,77,7000000.0,True,2.675,1.0,4.0,True,False
565,Cristhian Stuani,Girona CF,Spanish Primera Division,30,Uruguay,Forward,77,77,8500000.0,False,2.6746031746031744,4.892857142857143,28.0,True,False
566,Luke Shaw,Manchester United,English Premier League,21,England,Defender,79,84,14000000.0,True,2.6739130434782608,4.25,8.0,True,True
567,Adil Rami,Olympique de Marseille,French Ligue 1,31,France,Defender,81,81,12000000.0,False,2.6724137931034484,0.0,0.0,True,True
568,Stewart Downing,Middlesbrough,English Championship,32,England,Midfielder,73,73,3100000.0,False,2.671875,0.0,0.0,False,True
569,Valentin Eysseric,Fiorentina,Italian Serie A,25,France,Midfielder,78,80,12500000.0,False,2.6711409395973154,1.5,18.0,True,True
570,Phil Jones,Manchester United,English Premier League,25,England,Defender,80,81,14500000.0,True,2.6666666666666665,4.090909090909091,22.0,True,True
571,Ramiro Funes Mori,Everton,English Premier League,26,Argentina,Defender,77,81,9500000.0,False,2.6666666666666665,1.0,1.0,True,False
572,Alex Iwobi,Arsenal,English Premier League,21,Nigeria,Forward,74,85,9500000.0,False,2.6666666666666665,2.952380952380953,21.0,True,False
573,Takashi Inui,SD Eibar,Spanish Primera Division,29,Japan,Midfielder,78,78,10000000.0,False,2.6666666666666665,2.5483870967741935,31.0,True,False
574,Paul McShane,Reading,English Championship,31,Republic of Ireland,Defender,73,73,2700000.0,False,2.6666666666666665,0.0,0.0,False,False
575,Aymeric Laporte,Athletic Club de Bilbao,Spanish Primera Division,23,France,Defender,84,89,35500000.0,False,2.6619718309859155,3.0421052631578953,24.0,True,True
576,Yann Sommer,Borussia Monchengladbach,German Bundesliga,28,Switzerland,Goalkeeper,83,84,21000000.0,False,2.66,2.1481481481481484,27.0,True,False
577,John Anthony Brooks,VfL Wolfsburg,German Bundesliga,24,United States,Defender,80,85,17000000.0,False,2.659340659340659,2.25,8.0,True,False
578,Federico Fazio,Roma,Italian Serie A,30,Argentina,Defender,82,82,16500000.0,False,2.6578947368421053,3.4642857142857144,28.0,True,False
579,Carlos Kameni,Fenerbahce SK,Turkish Super Lig,33,Cameroon,Goalkeeper,80,80,7500000.0,False,2.657142857142857,0.0,0.0,False,False
580,Jean Francois Gillet,Standard de Liege,Belgian First Division A,38,Belgium,Goalkeeper,72,72,210000.0,False,2.6530612244897958,0.0,0.0,False,False
581,Connor Wickham,Crystal Palace,English Premier League,24,England,Forward,72,76,4100000.0,False,2.652173913043478,0.0,0.0,True,True
