,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
18,Pablo Zabaleta,127,MCFC,Defender,34,1,6,15,0,11,0,2,1,0,0,0,34,14,0,P,Pablo,Zabaleta
19,Petr Cech,126,CHEL,Goalkeeper,34,0,0,16,0,0,0,0,0,0,0,0,24,6,0,P,Petr,Cech
20,Gary Cahill,125,CHEL,Defender,29,1,1,16,1,2,0,8,1,0,0,0,19,6,0,G,Gary,Cahill
21,Loic Remy,122,NEWU,Forward,24,14,3,0,0,2,1,2,2,7,0,1,0,0,0,L,Loic,Remy
22,Wojciech Szczesny,121,ARSL,Goalkeeper,37,0,0,16,0,2,0,1,0,0,1,0,41,20,0,W,Wojciech,Szczesny
23,Per Mertesacker,121,ARSL,Defender,35,2,0,16,0,3,0,0,0,0,0,0,39,20,0,P,Per,Mertesacker
24,Tim Howard,121,EVER,Goalkeeper,37,0,1,15,0,4,1,0,0,0,2,0,38,16,1,T,Tim,Howard
25,Laurent Koscielny,119,ARSL,Defender,32,2,0,16,0,2,0,0,0,3,0,0,33,17,0,L,Laurent,Koscielny
26,Kevin Mirallas,118,EVER,Forward,28,8,8,0,0,6,0,7,4,17,0,0,0,0,0,K,Kevin,Mirallas
27,Jose Fonte,118,SOTOM,Defender,35,3,0,15,0,7,0,3,1,0,0,0,42,21,0,J,Jose,Fonte
28,Adam Johnson,117,SUND,Midfielder,28,8,5,0,0,2,0,9,8,15,0,0,0,0,0,A,Adam,Johnson
29,Bacary Sagna,116,ARSL,Defender,34,1,2,15,1,6,0,1,1,1,0,0,39,20,0,B,Bacary,Sagna
30,Samir Nasri,116,MCFC,Midfielder,29,7,7,0,0,3,0,5,5,17,0,0,0,0,0,S,Samir,Nasri
31,Aaron Ramsey,114,ARSL,Midfielder,20,10,8,0,0,3,0,3,3,6,0,0,0,0,0,A,Aaron,Ramsey
32,Raheem Sterling,114,LPOOL,Midfielder,24,9,5,0,0,3,0,14,9,9,0,0,0,0,0,R,Raheem,Sterling
33,Peter Crouch,112,STOKEC,Forward,30,8,5,0,0,7,0,8,4,7,0,0,0,0,0,P,Peter,Crouch
34,David Silva,110,MCFC,Midfielder,26,7,9,0,0,5,0,1,1,14,0,0,0,0,0,D,David,Silva
35,Steve Sidwell,110,FFC,Midfielder,36,7,2,0,0,5,0,2,2,4,0,0,0,0,0,S,Steve,Sidwell
36,Patrice Evra,109,MUFC,Defender,33,1,4,10,2,2,0,2,0,4,0,0,37,16,0,P,Patrice,Evra
37,Sylvain Distin,107,EVER,Defender,33,0,0,13,1,3,0,1,0,1,0,0,29,10,0,S,Sylvain,Distin
38,Christian Eriksen,107,SPURS,Midfielder,23,7,9,0,0,3,0,5,2,9,0,0,0,0,0,C,Christian,Eriksen
39,Jordan Mutch,106,CARD,Midfielder,26,7,5,0,0,5,0,10,9,7,0,0,0,0,0,J,Jordan,Mutch
40,Robin van Persie,106,MUFC,Forward,18,12,3,0,0,2,0,3,3,8,0,0,0,0,0,R,Robin,Persie
41,Emmanuel Adebayor,106,SPURS,Forward,20,11,4,0,0,0,0,1,1,4,0,1,0,0,0,E,Emmanuel,Adebayor
42,Alvaro Negredo,106,MCFC,Forward,21,9,3,0,0,1,0,17,11,13,0,0,0,0,0,A,Alvaro,Negredo
43,Philippe Coutinho,106,LPOOL,Midfielder,28,5,7,0,0,1,0,5,5,17,0,0,0,0,0,P,Philippe,Coutinho
44,Mesut Ozil,106,ARSL,Midfielder,25,5,10,0,0,0,0,1,1,11,0,0,0,0,0,M,Mesut,Ozil
45,Aleksandar Kolarov,106,MCFC,Defender,21,1,7,8,4,2,0,16,9,1,0,0,27,9,0,A,Aleksandar,Kolarov
46,Jonjo Shelvey,105,SWAN,Midfielder,29,6,6,0,0,4,0,4,3,9,0,0,0,0,0,J,Jonjo,Shelvey
47,Fraizer Campbell,104,CARD,Forward,32,6,3,0,0,4,0,6,5,18,0,0,0,0,0,F,Fraizer,Campbell
48,Artur Boruc,104,SOTOM,Goalkeeper,29,0,1,14,0,0,0,0,0,1,0,0,28,13,0,A,Artur,Boruc
49,Andreas Weimann,104,AVILLA,Forward,31,5,4,0,0,1,0,6,6,17,0,0,0,0,0,A,Andreas,Weimann
50,David De Gea,103,MUFC,Goalkeeper,37,0,0,12,0,1,0,1,0,0,0,0,43,18,0,D,David,Gea
51,Jason Puncheon,103,LCFC,Forward,29,7,3,0,0,2,0,6,5,12,0,1,0,0,0,J,Jason,Puncheon
52,Kevin Nolan,103,WESTHAM,Midfielder,33,7,5,0,0,7,2,0,0,16,0,0,0,0,0,K,Kevin,Nolan
53,Santi Cazorla,103,ARSL,Midfielder,30,4,8,0,0,2,0,3,1,10,0,0,0,0,0,S,Santi,Cazorla
54,Joel Ward,103,LCFC,Defender,36,0,2,12,0,3,0,0,0,0,0,0,44,20,0,J,Joel,Ward
55,Yoan Gouffran,102,NEWU,Forward,31,6,3,0,0,3,0,4,4,17,0,0,0,0,0,Y,Yoan,Gouffran
56,Martin Skrtel,102,LPOOL,Defender,36,7,1,8,0,6,0,0,0,1,0,0,50,22,4,M,Martin,Skrtel
57,Luke Shaw,102,SOTOM,Defender,35,0,1,13,1,4,0,1,0,5,0,0,42,21,0,L,Luke,Shaw
58,Juan Mata,101,CHEL,Midfielder,25,6,6,0,0,0,0,12,3,15,0,0,0,0,0,J,Juan,Mata
59,Hugo Lloris,101,SPURS,Goalkeeper,37,0,0,14,0,2,0,0,0,0,0,0,50,27,0,H,Hugo,Lloris
60,Jordan Henderson,101,LPOOL,Midfielder,35,4,6,0,0,4,1,0,0,1,0,0,0,0,0,J,Jordan,Henderson
61,Julian Speroni,101,LCFC,Goalkeeper,37,0,0,12,0,0,0,1,0,0,0,0,46,21,0,J,Julian,Speroni
62,Joe Hart,101,MCFC,Goalkeeper,31,0,0,13,0,1,0,7,0,0,0,0,30,12,0,J,Joe,Hart
63,Oscar,99,CHEL,Midfielder,24,8,2,0,0,4,0,10,9,16,0,0,0,0,0,O,Oscar,Oscar
64,Simon Mignolet,99,LPOOL,Goalkeeper,38,0,0,10,0,0,0,0,0,0,1,0,50,22,0,S,Simon,Mignolet
65,Martin Demichelis,99,MCFC,Defender,27,2,1,12,0,6,0,0,0,0,0,0,25,10,0,M,Martin,Demichelis
66,Dejan Lovren,98,SOTOM,Defender,31,2,1,12,0,7,0,1,0,1,0,0,37,18,0,D,Dejan,Lovren
67,Marko Arnautovic,98,STOKEC,Midfielder,27,4,8,0,0,3,0,5,3,13,0,0,0,0,0,M,Marko,Arnautovic
68,Damien Delaney,97,LCFC,Defender,37,1,1,12,0,9,0,0,0,1,0,0,46,21,1,D,Damien,Delaney
69,Cesar Azpilicueta,97,CHEL,Defender,26,0,0,12,2,1,0,9,3,2,0,0,21,6,1,C,Cesar,Azpilicueta
70,Asmir Begovic,96,STOKEC,Goalkeeper,32,1,0,9,0,1,0,0,0,0,1,0,36,13,0,A,Asmir,Begovic
71,Christian Benteke,95,AVILLA,Forward,24,10,1,0,0,4,0,2,2,4,0,2,0,0,0,C,Christian,Benteke
72,Curtis Davies,94,HULL,Defender,37,2,0,10,0,6,0,0,0,1,0,0,51,24,0,C,Curtis,Davies
73,Mark Noble,93,WESTHAM,Midfielder,38,3,3,0,0,7,0,0,0,4,0,0,0,0,0,M,Mark,Noble
74,Fabio Borini,92,LPOOL,Forward,25,7,2,0,0,6,0,10,7,9,0,0,0,0,0,F,Fabio,Borini
75,Charlie Adam,92,STOKEC,Midfielder,20,7,4,0,0,6,0,15,11,12,0,0,0,0,0,C,Charlie,Adam
76,Shane Long,92,WBFC,Forward,26,7,1,0,0,2,0,6,4,11,0,0,0,0,0,S,Shane,Long
77,Moussa Sissoko,92,NEWU,Midfielder,35,3,5,0,0,8,0,0,0,5,0,0,0,0,0,M,Moussa,Sissoko
78,Vincent Kompany,91,MCFC,Defender,28,4,1,8,2,6,1,0,0,2,0,0,30,12,1,V,Vincent,Kompany
79,Jake Livermore,91,HULL,Midfielder,34,3,4,0,0,6,0,2,2,2,0,0,0,0,0,J,Jake,Livermore
80,Andre Schurrle,90,CHEL,Midfielder,15,8,2,0,0,1,0,19,15,12,0,0,0,0,0,A,Andre,Schurrle
81,Gary Hooper,90,NCFC,Forward,22,6,2,0,0,0,0,13,10,12,0,0,0,0,0,G,Gary,Hooper
82,Danny Welbeck,89,MUFC,Forward,15,9,2,0,0,2,0,13,10,7,0,0,0,0,0,D,Danny,Welbeck
83,Jesus Navas,89,MCFC,Midfielder,18,4,7,0,0,0,0,13,12,8,0,0,0,0,0,J,Jesus,Navas
84,Geoff Cameron,89,STOKEC,Defender,37,2,1,8,0,7,0,0,0,1,0,0,52,23,0,G,Geoff,Cameron
85,Peter Whittingham,89,CARD,Midfielder,30,3,5,0,0,3,0,4,2,2,0,0,0,0,0,P,Peter,Whittingham
86,Guy Demel,89,WESTHAM,Defender,30,1,0,11,3,3,0,4,2,5,0,0,40,22,1,G,Guy,Demel
87,Ahmed Elmohamady,89,HULL,Midfielder,38,2,2,0,0,3,0,0,0,5,0,0,0,0,0,A,Ahmed,Elmohamady
88,Fernandinho,88,MCFC,Midfielder,29,5,3,0,0,8,0,6,4,5,0,0,0,0,0,F,Fernandinho,Fernandinho
89,Jonathan De Guzman,88,SWAN,Midfielder,26,4,3,0,0,1,0,8,8,10,0,0,0,0,0,J,Jonathan,Guzman
90,Robert Snodgrass,87,NCFC,Midfielder,29,6,2,0,0,6,0,1,1,4,0,1,0,0,0,R,Robert,Snodgrass
91,Paulinho,87,SPURS,Midfielder,28,6,2,0,0,4,1,3,2,8,0,0,0,0,0,P,Paulinho,Paulinho
92,Ross Barkley,87,EVER,Midfielder,25,6,1,0,0,5,0,10,9,13,0,0,0,0,0,R,Ross,Barkley
93,Tim Krul,87,NEWU,Goalkeeper,36,0,0,10,0,0,0,0,0,0,0,0,51,25,0,T,Tim,Krul
94,Tom Huddlestone,87,HULL,Midfielder,35,3,2,0,0,5,0,2,1,2,0,0,0,0,0,T,Tom,Huddlestone
95,Wayne Routledge,87,SWAN,Midfielder,32,2,4,0,0,2,0,5,3,12,0,0,0,0,0,W,Wayne,Routledge
96,Steven Davis,87,SOTOM,Midfielder,28,2,6,0,0,3,0,9,6,14,0,0,0,0,0,S,Steven,Davis
97,Brad Guzan,87,AVILLA,Goalkeeper,38,0,1,9,0,1,0,0,0,0,1,0,61,32,0,B,Brad,Guzan
98,Samuel Eto'o,87,CHEL,Forward,16,9,2,0,0,1,0,11,5,12,0,0,0,0,0,S,Samuel,Eto'o
99,Gabriel Agbonlahor,87,AVILLA,Forward,29,4,5,0,0,7,0,1,1,7,0,0,0,0,0,G,Gabriel,Agbonlahor
100,Michael Dawson,87,SPURS,Defender,31,0,1,13,0,7,0,3,1,1,0,0,43,24,0,M,Michael,Dawson
101,Morgan Amalfitano,86,WBFC,Midfielder,26,4,5,0,0,3,0,5,2,15,0,0,0,0,0,M,Morgan,Amalfitano
102,Erik Pieters,86,STOKEC,Defender,34,1,2,7,2,5,0,3,2,5,0,0,49,22,0,E,Erik,Pieters
103,John Ruddy,86,NCFC,Goalkeeper,38,0,0,12,0,2,0,0,0,0,0,0,62,36,0,J,John,Ruddy
104,Mohamed Diame,86,WESTHAM,Midfielder,29,4,2,0,0,4,0,7,6,14,0,0,0,0,0,M,Mohamed,Diame
105,Roberto Soldado,86,SPURS,Forward,22,6,4,0,0,6,0,14,6,10,0,0,0,0,0,R,Roberto,Soldado
106,Peter Odemwingie,85,CARD,Forward,26,6,1,0,0,4,0,7,4,16,0,0,0,0,0,P,Peter,Odemwingie
107,Steven Caulker,85,CARD,Defender,38,5,0,7,0,1,0,0,0,0,0,0,74,43,0,S,Steven,Caulker
108,Leandro Bacuna,85,AVILLA,Midfielder,28,5,1,0,0,6,0,9,7,3,0,0,0,0,0,L,Leandro,Bacuna
109,Leon Osman,85,EVER,Midfielder,27,3,3,0,0,4,0,11,11,19,0,0,0,0,0,L,Leon,Osman
110,Nathaniel Clyne,84,SOTOM,Defender,20,0,4,10,1,3,0,13,5,3,0,0,26,12,0,N,Nathaniel,Clyne
111,Ashley R Westwood,84,AVILLA,Midfielder,35,3,2,0,0,7,0,0,0,4,0,0,0,0,0,A,Ashley,Westwood
112,Luis Antonio Valencia,84,MUFC,Defender,20,2,4,7,3,7,0,13,9,3,0,0,33,14,0,L,Luis,Valencia
113,Kieran Richardson,83,FFC,Midfielder,28,4,3,0,0,5,0,6,3,9,0,0,0,0,0,K,Kieran,Richardson
114,Lukas Podolski,83,ARSL,Forward,14,8,3,0,0,0,0,10,6,9,0,0,0,0,0,L,Lukas,Podolski
115,Ryan Shawcross,83,STOKEC,Defender,37,1,0,9,0,6,0,0,0,0,0,0,51,23,1,R,Ryan,Shawcross
116,Nathan Dyer,81,SWAN,Midfielder,19,6,2,0,0,1,0,10,8,10,0,0,0,0,0,N,Nathan,Dyer
117,Stephane Sessegnon,81,SUND,Midfielder,25,5,1,0,0,0,0,5,3,15,0,0,0,0,0,S,Stephane,Sessegnon
118,Gareth Barry,81,EVER,Midfielder,32,3,4,0,0,10,0,0,0,1,0,0,0,0,0,G,Gareth,Barry
119,Ben Davies,81,SWAN,Defender,32,2,1,6,1,3,0,3,2,1,0,0,48,21,0,B,Ben,Davies
120,Philip Jagielka,81,EVER,Defender,26,0,1,10,0,2,0,0,0,1,0,0,28,12,0,P,Philip,Jagielka
121,Vito Mannone,80,SUND,Goalkeeper,28,0,0,11,0,0,0,10,1,0,0,0,39,21,0,V,Vito,Mannone
122,Phil Jones,79,MUFC,Defender,26,1,2,8,0,5,0,0,0,3,0,0,29,11,0,P,Phil,Jones
123,James Tomkins,78,WESTHAM,Defender,31,0,0,11,0,6,0,5,0,3,0,0,42,22,0,J,James,Tomkins
124,Fabian Delph,78,AVILLA,Midfielder,33,3,2,0,0,7,0,1,1,0,0,0,0,0,1,F,Fabian,Delph
125,Marouane Chamakh,78,LCFC,Forward,27,5,1,0,0,9,0,5,5,19,0,0,0,0,0,M,Marouane,Chamakh
126,Steven N'Zonzi,78,STOKEC,Midfielder,34,2,1,0,0,5,0,3,2,2,0,0,0,0,0,S,Steven,N'Zonzi
127,Ashley Williams,77,SWAN,Defender,34,1,1,7,0,5,0,2,0,1,0,0,49,22,0,A,Ashley,Williams
128,Jonathan Walters,77,STOKEC,Midfielder,27,5,2,0,0,8,1,7,5,11,0,1,0,0,0,J,Jonathan,Walters
129,Fernando Torres,77,CHEL,Forward,16,5,4,0,0,4,0,14,12,9,0,0,0,0,0,F,Fernando,Torres
130,Mile Jedinak,77,LCFC,Midfielder,38,1,1,0,0,7,0,0,0,1,0,0,0,0,0,M,Mile,Jedinak
131,Martin Olsson,77,NCFC,Defender,33,0,1,11,0,2,0,3,1,1,0,0,58,35,0,M,Martin,Olsson
132,John O'Shea,77,SUND,Defender,33,1,0,10,0,2,1,1,0,2,0,0,49,26,1,J,John,O'Shea
133,Jack Colback,76,SUND,Midfielder,28,3,2,0,0,6,0,9,5,7,0,0,0,0,0,J,Jack,Colback
134,Kyle Walker,76,SPURS,Defender,26,1,2,9,1,5,0,1,0,1,0,0,36,20,0,K,Kyle,Walker
135,Chris Brunt,76,WBFC,Midfielder,25,3,5,0,0,7,0,7,3,2,0,0,0,0,0,C,Chris,Brunt
136,Youssuf Mulumbu,76,WBFC,Midfielder,33,2,1,0,0,7,0,4,4,3,0,0,0,0,0,Y,Youssuf,Mulumbu
137,Kieran Gibbs,75,ARSL,Defender,24,0,1,8,3,2,1,6,4,3,0,0,30,13,0,K,Kieran,Gibbs
138,Frank Lampard,74,CHEL,Midfielder,20,6,2,0,0,4,0,14,6,8,0,2,0,0,0,F,Frank,Lampard
139,James McCarthy,74,EVER,Midfielder,31,1,3,0,0,5,0,3,3,2,0,0,0,0,0,J,James,McCarthy
140,Steven Naismith,74,EVER,Forward,13,5,2,0,0,1,0,24,18,5,0,0,0,0,0,S,Steven,Naismith
141,Liam Rosenior,73,HULL,Defender,22,1,3,6,4,5,0,15,7,7,0,0,38,19,0,L,Liam,Rosenior
142,Pablo Hernandez,73,SWAN,Midfielder,17,2,7,0,0,2,0,10,10,11,0,0,0,0,0,P,Pablo,Hernandez
143,Matt Jarvis,73,WESTHAM,Midfielder,23,2,3,0,0,1,0,14,9,17,0,0,0,0,0,M,Matt,Jarvis
144,Daniel Agger,72,LPOOL,Defender,16,2,1,8,0,0,0,14,4,2,0,0,21,9,0,D,Daniel,Agger
145,Yohan Cabaye,72,NEWU,Midfielder,17,7,2,0,0,5,0,2,2,7,0,0,0,0,0,Y,Yohan,Cabaye
146,Stewart Downing,72,WESTHAM,Midfielder,29,1,2,0,0,0,0,3,3,7,0,0,0,0,0,S,Stewart,Downing
147,Saido Berahino,71,WBFC,Forward,11,5,1,0,0,0,0,27,21,6,0,0,0,0,0,S,Saido,Berahino
148,Mike Williamson,71,NEWU,Defender,32,0,0,8,0,0,0,2,1,1,0,0,51,26,0,M,Mike,Williamson
149,Liam Ridgewell,70,WBFC,Defender,33,1,2,6,0,6,0,1,0,3,0,0,52,25,0,L,Liam,Ridgewell
150,Ron Vlaar,70,AVILLA,Defender,32,0,1,8,1,4,0,0,0,3,0,0,50,27,0,R,Ron,Vlaar
151,Maynor Figueroa,70,HULL,Defender,31,0,0,8,1,6,0,4,1,6,0,0,44,21,0,M,Maynor,Figueroa
152,Ashley Cole,70,CHEL,Defender,15,0,2,8,1,1,0,17,2,2,0,0,9,1,0,A,Ashley,Cole
153,Leroy Fer,69,NCFC,Midfielder,28,3,1,0,0,6,0,3,1,4,0,0,0,0,0,L,Leroy,Fer
154,Morgan Schneiderlin,69,SOTOM,Midfielder,31,2,1,0,0,8,0,2,2,3,0,0,0,0,0,M,Morgan,Schneiderlin
155,Nathan Redmond,69,NCFC,Midfielder,23,1,3,0,0,2,0,13,11,11,0,0,0,0,0,N,Nathan,Redmond
156,Mathieu Debuchy,69,NEWU,Defender,28,1,3,8,1,8,1,1,1,4,0,0,42,22,1,M,Mathieu,Debuchy
157,Aaron Lennon,69,SPURS,Midfielder,26,1,4,0,0,1,0,3,1,11,0,0,0,0,0,A,Aaron,Lennon
158,Sung-Yueng Ki,68,SWAN,Midfielder,25,3,1,0,0,3,0,4,3,5,0,0,0,0,0,S,Sung-Yueng,Ki
159,Glen Johnson,68,LPOOL,Defender,29,0,1,7,2,3,0,0,0,5,0,0,39,19,1,G,Glen,Johnson
160,James Morrison,68,WBFC,Midfielder,23,1,3,0,0,1,0,12,9,4,0,0,0,0,0,J,James,Morrison
161,Emanuele Giaccherini,68,SUND,Forward,16,4,4,0,0,4,0,18,8,9,0,0,0,0,0,E,Emanuele,Giaccherini
162,Gareth McAuley,68,WBFC,Defender,32,2,0,6,0,4,0,3,0,2,0,0,49,23,1,G,Gareth,McAuley
163,Chico Flores,68,SWAN,Defender,30,2,0,8,0,6,1,2,1,0,0,0,46,23,1,C,Chico,Flores
164,Chris Smalling,68,MUFC,Defender,21,1,0,8,0,2,0,9,4,2,0,0,30,13,0,C,Chris,Smalling
165,Vurnon Anita,68,NEWU,Midfielder,28,1,1,0,0,2,0,10,6,11,0,0,0,0,0,V,Vurnon,Anita
166,Carlton Cole,67,WESTHAM,Forward,9,6,1,0,0,1,0,22,17,6,0,0,0,0,0,C,Carlton,Cole
167,Marc Wilson,67,STOKEC,Defender,30,0,0,7,1,6,1,5,3,1,0,0,42,17,0,M,Marc,Wilson
168,Adnan Januzaj,67,MUFC,Midfielder,15,4,4,0,0,7,0,16,12,7,0,0,0,0,0,A,Adnan,Januzaj
169,Jan Vertonghen,67,SPURS,Defender,23,0,0,10,0,4,0,0,0,1,0,0,28,15,0,J,Jan,Vertonghen
170,James Collins,67,WESTHAM,Defender,22,1,0,9,1,6,0,6,2,3,0,0,30,16,0,J,James,Collins
171,Bradley Johnson,66,NCFC,Midfielder,28,3,1,0,0,6,1,9,4,5,0,0,0,0,1,B,Bradley,Johnson
172,Sebastian Larsson,66,SUND,Midfielder,24,1,4,0,0,6,0,12,7,10,0,0,0,0,0,S,Sebastian,Larsson
173,Adrian Mariappa,66,LCFC,Defender,23,1,1,8,1,6,0,8,1,1,0,0,32,17,0,A,Adrian,Mariappa
174,Hatem Ben Arfa,66,NEWU,Midfielder,13,3,4,0,0,1,0,17,14,6,0,0,0,0,0,H,Hatem,Arfa
175,Dwight Gayle,65,LCFC,Forward,8,7,0,0,0,1,0,28,15,5,0,0,0,0,0,D,Dwight,Gayle
176,Sebastien Bassong,65,NCFC,Defender,27,0,0,10,0,1,0,4,0,1,0,0,42,25,1,S,Sebastien,Bassong
177,Winston Reid,65,WESTHAM,Defender,18,1,0,7,2,2,0,6,4,0,0,0,23,10,0,W,Winston,Reid
178,Willian,65,CHEL,Midfielder,18,4,2,0,0,4,0,12,7,9,0,0,0,0,0,W,Willian,Willian
179,Gary Medel,65,CARD,Midfielder,34,0,1,0,0,6,0,0,0,11,0,0,0,0,0,G,Gary,Medel
180,Allan McGregor,64,HULL,Goalkeeper,26,0,0,7,0,0,2,0,0,1,1,0,34,15,0,A,Allan,McGregor
181,Daniel Gabbidon,64,LCFC,Defender,22,1,0,6,2,0,0,12,1,1,0,0,26,11,1,D,Daniel,Gabbidon
182,Jack Wilshere,64,ARSL,Midfielder,19,3,4,0,0,6,0,5,5,6,0,0,0,0,0,J,Jack,Wilshere
183,Nikica Jelavic,64,EVER,Forward,21,4,1,0,0,3,0,15,4,15,0,1,0,0,0,N,Nikica,Jelavic
184,Jonas Olsson,63,WBFC,Defender,32,1,0,7,0,10,0,1,0,2,0,0,46,21,1,J,Jonas,Olsson
185,Russell Martin,63,NCFC,Defender,29,0,0,9,1,2,0,8,2,0,0,0,51,30,1,R,Russell,Martin
186,Angel Rangel,63,SWAN,Defender,29,0,1,7,0,8,0,2,1,1,0,0,42,19,0,A,Angel,Rangel
187,Scott Parker,63,FFC,Midfielder,27,2,1,0,0,6,0,3,2,7,0,0,0,0,0,S,Scott,Parker
188,Karim El Ahmadi,63,AVILLA,Midfielder,26,2,1,0,0,7,0,10,5,15,0,0,0,0,0,K,Karim,Ahmadi
189,Nacho Monreal,63,ARSL,Defender,13,0,1,6,7,2,0,18,10,4,0,0,22,12,0,N,Nacho,Monreal
190,David Meyler,62,HULL,Midfielder,27,2,1,0,0,8,0,10,3,12,0,0,0,0,0,D,David,Meyler
191,Michel Vorm,62,SWAN,Goalkeeper,26,0,0,7,0,2,1,1,0,0,0,0,32,13,0,M,Michel,Vorm
192,Gylfi Sigurdsson,62,SPURS,Midfielder,14,5,0,0,0,2,0,18,11,9,0,0,0,0,0,G,Gylfi,Sigurdsson
193,Nemanja Vidic,61,MUFC,Defender,23,0,0,7,2,6,1,4,2,1,0,0,26,10,0,N,Nemanja,Vidic
194,Ashkan Dejagah,61,FFC,Forward,13,5,2,0,0,5,0,11,9,8,0,0,0,0,0,A,Ashkan,Dejagah
195,Yannick Bolasie,60,LCFC,Midfielder,23,0,4,0,0,1,1,6,6,14,0,0,0,0,0,Y,Yannick,Bolasie
196,Gael Clichy,59,MCFC,Defender,18,0,0,8,0,1,0,16,2,0,0,0,22,10,0,G,Gael,Clichy
197,Pajtim Kasami,59,FFC,Midfielder,20,3,0,0,0,5,0,14,9,5,0,0,0,0,0,P,Pajtim,Kasami
198,Lewis Holtby,59,SPURS,Midfielder,17,2,3,0,0,3,0,15,9,10,0,0,0,0,0,L,Lewis,Holtby
199,Mikel Arteta,59,ARSL,Midfielder,27,2,0,0,0,3,1,5,4,3,0,0,0,0,1,M,Mikel,Arteta
200,Fabricio Coloccini,59,NEWU,Defender,27,0,0,7,0,2,0,1,0,1,0,0,41,21,0,F,Fabricio,Coloccini
201,Ramires,59,CHEL,Midfielder,29,1,2,0,0,8,1,2,1,3,0,0,0,0,0,R,Ramires,Ramires
202,Wes Brown,59,SUND,Defender,24,0,1,9,1,2,3,2,1,0,0,0,32,17,1,W,Wes,Brown
203,Davide Santon,58,NEWU,Defender,26,0,0,7,0,1,0,2,1,6,0,0,42,22,0,D,Davide,Santon
204,Glenn Whelan,58,STOKEC,Midfielder,28,0,1,0,0,5,0,9,4,10,0,0,0,0,0,G,Glenn,Whelan
205,Theo Walcott,58,ARSL,Forward,9,5,4,0,0,1,0,4,4,3,0,0,0,0,0,T,Theo,Walcott
206,Cameron Jerome,58,STOKEC,Forward,20,2,1,0,0,4,0,12,9,15,0,0,0,0,0,C,Cameron,Jerome
207,Gerard Deulofeu,57,EVER,Midfielder,9,3,3,0,0,1,0,21,16,7,0,0,0,0,0,G,Gerard,Deulofeu
208,Danny Rose,57,SPURS,Defender,22,1,1,5,2,4,1,0,0,4,0,0,27,12,0,D,Danny,Rose
209,Jonathan Howson,57,NCFC,Midfielder,23,2,0,0,0,3,0,5,4,3,0,0,0,0,0,J,Jonathan,Howson
210,James Milner,57,MCFC,Midfielder,12,1,4,0,0,3,0,25,19,3,0,0,0,0,0,J,James,Milner
211,Victor Anichebe,57,EVER,Forward,11,3,3,0,0,3,0,17,14,7,0,0,0,0,0,V,Victor,Anichebe
212,Cheick Tiote,57,NEWU,Midfielder,31,0,1,0,0,10,0,2,2,3,0,0,0,0,0,C,Cheick,Tiote
