,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
0,Luis Suarez,254,LPOOL,Forward,33,31,13,0,0,6,0,0,0,3,0,0,0,0,0,L,Luis,Suarez
1,Yaya Toure,193,MCFC,Midfielder,35,20,9,0,0,4,0,1,0,10,0,0,0,0,0,Y,Yaya,Toure
2,Daniel Sturridge,177,LPOOL,Forward,26,21,7,0,0,2,0,3,3,13,0,1,0,0,0,D,Daniel,Sturridge
3,Olivier Giroud,172,ARSL,Forward,36,16,8,0,0,4,0,1,0,16,0,0,0,0,0,O,Olivier,Giroud
4,Steven Gerrard,162,LPOOL,Midfielder,33,13,13,0,0,7,0,1,1,6,0,1,0,0,0,S,Steven,Gerrard
5,Wayne Rooney,160,MUFC,Forward,27,17,9,0,0,8,0,2,2,4,0,0,0,0,0,W,Wayne,Rooney
6,Ricky Lambert,158,SOTOM,Forward,31,13,9,0,0,2,0,6,6,11,0,0,0,0,0,R,Ricky,Lambert
7,Eden Hazard,156,CHEL,Midfielder,32,14,7,0,0,2,0,3,3,11,0,0,0,0,0,E,Eden,Hazard
8,Romelu Lukaku,154,CHEL,Forward,29,15,6,0,0,1,0,5,4,9,0,0,0,0,0,R,Romelu,Lukaku
9,Seamus Coleman,149,EVER,Defender,36,6,2,15,0,3,0,1,0,1,0,0,34,13,1,S,Seamus,Coleman
10,Wilfried Bony,149,SWAN,Forward,27,16,4,0,0,4,0,8,7,8,0,0,0,0,0,W,Wilfried,Bony
11,Jay Rodriguez,142,SOTOM,Forward,30,15,2,0,0,2,0,3,3,12,0,0,0,0,0,J,Jay,Rodriguez
12,Sergio Aguero,140,MCFC,Forward,20,17,6,0,0,4,0,3,3,15,0,1,0,0,0,S,Sergio,Aguero
13,Branislav Ivanovic,139,CHEL,Defender,36,3,1,16,0,8,0,0,0,1,0,0,27,7,0,B,Branislav,Ivanovic
14,Edin Dzeko,136,MCFC,Forward,23,16,2,0,0,4,0,14,8,13,0,0,0,0,0,E,Edin,Dzeko
15,Adam Lallana,135,SOTOM,Midfielder,37,9,6,0,0,3,0,1,1,19,0,0,0,0,0,A,Adam,Lallana
16,John Terry,132,CHEL,Defender,34,2,1,16,0,3,0,0,0,0,0,0,25,7,1,J,John,Terry
17,Leighton Baines,131,EVER,Defender,32,5,4,13,0,6,0,0,0,2,0,0,35,16,0,L,Leighton,Baines
