,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
0,Jamie Vardy,202,LEICSC,Forward,36,24,6,0,0,6,0,0,0,7,0,1,0,0,0,J,Jamie,Vardy
1,Harry Kane,199,SPURS,Forward,38,25,2,0,0,5,0,0,0,9,0,0,0,0,1,H,Harry,Kane
2,Riyad Mahrez,189,LEICSC,Midfielder,36,17,12,0,0,1,0,2,1,24,0,2,0,0,0,R,Riyad,Mahrez
3,Sergio Aguero,182,MCFC,Forward,29,24,2,0,0,1,0,3,1,16,0,1,0,0,0,S,Sergio,Aguero
4,Romelu Lukaku,179,EVER,Forward,36,18,7,0,0,3,0,2,1,8,0,1,0,0,0,R,Romelu,Lukaku
5,Olivier Giroud,157,ARSL,Forward,26,16,6,0,0,2,0,12,12,8,0,0,0,0,1,O,Olivier,Giroud
6,Troy Deeney,155,WFC,Forward,36,13,9,0,0,6,0,2,2,3,0,1,0,0,1,T,Troy,Deeney
7,Odion Ighalo,153,WFC,Forward,36,15,3,0,0,4,0,1,1,8,0,0,0,0,0,O,Odion,Ighalo
8,Mesut Ozil,153,ARSL,Midfielder,35,6,19,0,0,4,0,0,0,14,0,0,0,0,0,M,Mesut,Ozil
9,Hector Bellerin,152,ARSL,Defender,36,1,7,18,0,3,0,0,0,0,0,0,33,15,0,H,Hector,Bellerin
10,Georginio Wijnaldum,143,NEWU,Midfielder,36,11,5,0,0,1,0,2,2,7,0,0,0,0,0,G,Georginio,Wijnaldum
11,Toby Alderweireld,141,SPURS,Defender,38,4,2,13,0,3,0,0,0,1,0,0,35,10,0,T,Toby,Alderweireld
12,Marko Arnautovic,141,STOKEC,Midfielder,33,11,7,0,0,2,0,1,1,14,0,0,0,0,0,M,Marko,Arnautovic
13,Alexis Sanchez,137,ARSL,Forward,28,13,5,0,0,1,0,2,2,12,0,0,0,0,0,A,Alexis,Sanchez
14,Dimitri Payet,137,WESTHAM,Midfielder,29,9,12,0,0,3,0,1,1,6,0,0,0,0,0,D,Dimitri,Payet
15,Ross Barkley,137,EVER,Midfielder,36,8,9,0,0,4,0,2,2,14,0,0,0,0,0,R,Ross,Barkley
16,Nacho Monreal,136,ARSL,Defender,36,0,3,17,1,1,0,2,1,0,0,0,34,15,0,N,Nacho,Monreal
17,Jermain Defoe,136,SUND,Forward,28,15,1,0,0,3,0,9,5,5,0,0,0,0,0,J,Jermain,Defoe
18,Christian Eriksen,135,SPURS,Midfielder,33,6,13,0,0,2,0,2,2,10,0,0,0,0,0,C,Christian,Eriksen
19,Andre Ayew,135,SWAN,Forward,34,12,4,0,0,5,0,1,0,15,0,0,0,0,0,A,Andre,Ayew
20,Sadio Mane,133,SOTOM,Midfielder,30,11,7,0,0,5,1,8,7,15,0,1,0,0,0,S,Sadio,Mane
21,Wes Morgan,133,LEICSC,Defender,38,2,1,15,0,3,0,0,0,0,0,0,36,13,0,W,Wes,Morgan
22,Dele Alli,131,SPURS,Midfielder,28,10,9,0,0,7,0,6,5,17,0,0,0,0,0,D,Dele,Alli
23,Dusan Tadic,130,SOTOM,Midfielder,27,7,12,0,0,2,0,11,7,19,0,0,0,0,0,D,Dusan,Tadic
24,Laurent Koscielny,129,ARSL,Defender,33,4,0,15,0,3,0,1,0,2,0,0,32,14,0,L,Laurent,Koscielny
25,Robert Huth,128,LEICSC,Defender,35,3,1,15,0,8,0,0,0,0,0,0,32,12,0,R,Robert,Huth
26,Gylfi Sigurdsson,126,SWAN,Midfielder,32,11,3,0,0,6,0,4,4,6,0,0,0,0,0,G,Gylfi,Sigurdsson
27,Diego Costa,125,CHEL,Forward,27,12,6,0,0,8,0,2,1,6,0,0,0,0,0,D,Diego,Costa
28,Anthony Martial,125,MUFC,Midfielder,29,11,4,0,0,2,0,2,2,2,0,0,0,0,0,A,Anthony,Martial
29,Christian Fuchs,124,LEICSC,Defender,30,0,4,15,0,4,0,4,2,1,0,0,23,6,0,C,Christian,Fuchs
30,Graziano Pelle,123,SOTOM,Forward,23,11,7,0,0,6,0,9,7,4,0,0,0,0,0,G,Graziano,Pelle
31,Roberto Firmino,122,LPOOL,Midfielder,24,10,6,0,0,1,0,7,7,17,0,0,0,0,0,R,Roberto,Firmino
32,Kasper Schmeichel,121,LEICSC,Goalkeeper,38,0,0,15,0,2,0,0,0,0,0,0,36,13,0,K,Kasper,Schmeichel
33,Francesc Fabregas,120,CHEL,Midfielder,33,5,10,0,0,5,0,4,4,8,0,0,0,0,0,F,Francesc,Fabregas
34,Petr Cech,119,ARSL,Goalkeeper,34,0,0,16,0,0,0,2,0,0,0,0,31,13,0,P,Petr,Cech
35,Daley Blind,118,MUFC,Defender,35,1,2,12,3,2,0,2,0,3,0,0,35,15,0,D,Daley,Blind
36,Chris Smalling,117,MUFC,Defender,35,0,1,17,0,8,0,0,0,0,0,0,31,13,1,C,Chris,Smalling
37,Hugo Lloris,116,SPURS,Goalkeeper,37,0,0,13,0,0,0,1,0,0,0,0,34,10,0,H,Hugo,Lloris
38,Juan Mata,115,MUFC,Midfielder,34,6,6,0,0,5,0,4,4,15,0,0,0,0,0,J,Juan,Mata
39,Aaron Cresswell,115,WESTHAM,Defender,37,2,4,11,0,1,0,0,0,1,0,0,50,24,0,A,Aaron,Cresswell
40,Heurelho Gomes,114,WFC,Goalkeeper,38,0,2,11,0,4,0,0,0,1,3,0,50,23,0,H,Heurelho,Gomes
41,Joe Hart,114,MCFC,Goalkeeper,35,0,0,15,0,0,0,1,0,1,0,0,36,16,0,J,Joe,Hart
42,Salomon Rondon,114,WBFC,Forward,30,9,3,0,0,1,1,4,4,15,0,0,0,0,0,S,Salomon,Rondon
43,Kevin De Bruyne,113,MCFC,Midfielder,22,7,11,0,0,2,0,4,3,4,0,0,0,0,0,K,Kevin,Bruyne
44,Shane Long,111,SOTOM,Forward,23,10,4,0,0,2,0,9,5,5,0,0,0,0,0,S,Shane,Long
45,Willian,111,CHEL,Midfielder,32,5,8,0,0,5,0,3,3,14,0,0,0,0,0,W,Willian,Willian
46,David De Gea,111,MUFC,Goalkeeper,34,0,0,15,0,0,0,0,0,0,0,0,33,14,1,D,David,Gea
