,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
47,Craig Dawson,111,WBFC,Defender,38,4,0,10,1,3,0,0,0,1,0,0,48,21,1,C,Craig,Dawson
48,Mark Noble,110,WESTHAM,Midfielder,37,7,4,0,0,8,1,0,0,9,0,0,0,0,0,M,Mark,Noble
49,Virgil van Dijk,109,SOTOM,Defender,34,3,0,10,0,2,0,0,0,0,0,0,36,12,0,V,Virgil,Dijk
50,Jose Fonte,108,SOTOM,Defender,37,2,0,11,1,4,1,0,0,3,0,0,40,15,0,J,Jose,Fonte
51,Kyle Walker,108,SPURS,Defender,33,1,3,12,0,7,0,3,0,2,0,0,31,10,1,K,Kyle,Walker
52,Wayne Rooney,106,MUFC,Forward,27,8,5,0,0,4,0,1,1,4,0,0,0,0,0,W,Wayne,Rooney
53,Scott Dann,106,LCFC,Defender,35,5,1,8,0,7,0,1,0,0,0,0,44,17,0,S,Scott,Dann
54,Philippe Coutinho,105,LPOOL,Midfielder,24,8,6,0,0,3,0,5,2,11,0,0,0,0,0,P,Philippe,Coutinho
55,Erik Lamela,105,SPURS,Midfielder,28,5,9,0,0,9,0,8,6,19,0,0,0,0,0,E,Erik,Lamela
56,Aleksandar Kolarov,105,MCFC,Defender,25,3,4,10,3,3,0,10,4,2,0,1,33,17,0,A,Aleksandar,Kolarov
57,Danny Simpson,104,LEICSC,Defender,30,0,0,13,1,4,0,3,0,3,0,0,22,6,0,D,Danny,Simpson
58,James Milner,104,LPOOL,Midfielder,28,5,11,0,0,10,0,1,0,7,0,0,0,0,0,J,James,Milner
59,Aleksandar Mitrovic,103,NEWU,Forward,22,9,4,0,0,4,2,14,12,8,0,0,0,0,0,A,Aleksandar,Mitrovic
60,Matt Ritchie,103,BOU,Midfielder,33,4,6,0,0,5,0,4,4,9,0,0,0,0,0,M,Matt,Ritchie
61,Yaya Toure,102,MCFC,Midfielder,28,6,5,0,0,3,0,4,4,12,0,0,0,0,0,Y,Yaya,Toure
62,Nathan Redmond,101,NCFC,Midfielder,24,6,4,0,0,0,0,12,11,6,0,0,0,0,0,N,Nathan,Redmond
63,Daniel Drinkwater,100,LEICSC,Midfielder,35,2,8,0,0,4,0,0,0,6,0,0,0,0,0,D,Daniel,Drinkwater
64,David Silva,100,MCFC,Midfielder,22,2,15,0,0,1,0,2,2,12,0,0,0,0,0,D,David,Silva
65,Wes Hoolahan,98,NCFC,Midfielder,25,4,8,0,0,1,0,11,5,20,0,0,0,0,0,W,Wes,Hoolahan
66,Cesar Azpilicueta,98,CHEL,Defender,36,2,4,8,1,7,0,2,1,3,0,0,52,24,0,C,Cesar,Azpilicueta
67,Ryan Bertrand,98,SOTOM,Defender,32,1,3,9,0,6,0,0,0,0,0,0,33,10,0,R,Ryan,Bertrand
68,Moussa Sissoko,97,NEWU,Midfielder,37,1,7,0,0,3,0,0,0,6,0,0,0,0,0,M,Moussa,Sissoko
69,Bacary Sagna,97,MCFC,Defender,27,0,3,11,2,4,0,7,1,1,0,0,26,11,0,B,Bacary,Sagna
70,Pedro Rodriguez,97,CHEL,Midfielder,24,7,4,0,0,3,0,5,5,15,0,0,0,0,0,P,Pedro,Rodriguez
71,Aaron Ramsey,96,ARSL,Midfielder,29,5,5,0,0,4,0,3,2,2,0,0,0,0,0,A,Aaron,Ramsey
72,Marc Albrighton,96,LEICSC,Midfielder,34,2,6,0,0,4,0,4,4,22,0,0,0,0,0,M,Marc,Albrighton
73,Simon Mignolet,96,LPOOL,Goalkeeper,34,0,0,11,0,2,0,3,0,0,1,0,42,19,0,S,Simon,Mignolet
74,Charlie Daniels,96,BOU,Defender,37,3,5,7,0,2,0,0,0,1,0,0,64,34,0,C,Charlie,Daniels
75,Michail Antonio,95,WESTHAM,Midfielder,23,8,3,0,0,3,0,10,3,8,0,0,0,0,0,M,Michail,Antonio
76,Steven Davis,95,SOTOM,Midfielder,31,5,3,0,0,4,0,3,3,14,0,0,0,0,0,S,Steven,Davis
77,Christian Benteke,95,LPOOL,Forward,14,9,3,0,0,2,0,16,15,3,0,0,0,0,0,C,Christian,Benteke
78,Ashley Williams,93,SWAN,Defender,36,2,2,9,0,8,0,0,0,0,0,0,50,23,0,A,Ashley,Williams
79,Yann M'Vila,92,SUND,Midfielder,36,1,5,0,0,1,0,1,1,4,0,0,0,0,0,Y,Yann,M'Vila
80,Cheikhou Kouyate,91,WESTHAM,Midfielder,34,5,2,0,0,5,1,0,0,3,0,0,0,0,0,C,Cheikhou,Kouyate
81,Adrian,90,WESTHAM,Goalkeeper,32,0,0,9,0,1,1,0,0,0,2,0,39,16,0,A,Adrian,Adrian
82,Joshua King,90,BOU,Forward,24,6,2,0,0,1,0,7,7,18,0,0,0,0,0,J,Joshua,King
83,Raheem Sterling,89,MCFC,Midfielder,23,6,2,0,0,1,0,11,8,15,0,0,0,0,0,R,Raheem,Sterling
84,Adam Lallana,89,LPOOL,Midfielder,23,4,6,0,0,2,0,9,7,13,0,0,0,0,0,A,Adam,Lallana
85,Jonathan Howson,89,NCFC,Midfielder,33,3,4,0,0,7,0,3,3,5,0,0,0,0,0,J,Jonathan,Howson
86,Andy Carroll,89,WESTHAM,Forward,13,9,2,0,0,2,0,15,14,5,0,0,0,0,0,A,Andy,Carroll
87,Lukasz Fabianski,89,SWAN,Goalkeeper,37,0,1,9,0,1,0,0,0,0,0,0,51,23,0,L,Lukasz,Fabianski
88,Branislav Ivanovic,88,CHEL,Defender,33,2,2,8,0,5,0,0,0,2,0,0,46,21,0,B,Branislav,Ivanovic
89,Ayoze Perez,88,NEWU,Forward,22,6,2,0,0,4,0,16,12,12,0,0,0,0,0,A,Ayoze,Perez
90,Patrick van Aanholt,88,SUND,Defender,33,4,3,6,0,2,0,4,0,0,0,0,56,29,0,P,Patrick,Aanholt
91,Shinji Okazaki,88,LEICSC,Forward,28,5,0,0,0,1,0,10,8,25,0,0,0,0,0,S,Shinji,Okazaki
92,Alberto Moreno,88,LPOOL,Defender,28,1,5,6,3,3,0,6,4,3,0,0,42,19,0,A,Alberto,Moreno
93,Robert Brady,88,NCFC,Midfielder,34,3,2,0,0,3,0,2,2,6,0,0,0,0,0,R,Robert,Brady
94,Matteo Darmian,88,MUFC,Defender,24,1,0,8,8,8,0,7,4,11,0,0,21,9,0,M,Matteo,Darmian
95,N'Golo Kante,87,LEICSC,Midfielder,33,1,5,0,0,3,0,4,4,2,0,0,0,0,0,N,N'Golo,Kante
96,Darren Fletcher,87,WBFC,Midfielder,38,1,3,0,0,3,0,0,0,2,0,0,0,0,0,D,Darren,Fletcher
97,Gareth McAuley,86,WBFC,Defender,34,1,0,10,0,4,1,0,0,0,0,0,41,17,1,G,Gareth,McAuley
98,Nathaniel Clyne,86,LPOOL,Defender,33,1,1,10,0,6,0,1,0,0,0,0,45,22,0,N,Nathaniel,Clyne
99,Jack Butland,86,STOKEC,Goalkeeper,31,0,0,10,0,0,0,0,0,0,0,0,37,16,0,J,Jack,Butland
100,Bojan Krkic,85,STOKEC,Forward,22,7,1,0,0,2,0,13,5,17,0,0,0,0,0,B,Bojan,Krkic
101,Craig Cathcart,85,WFC,Defender,34,1,0,10,0,3,0,2,1,1,0,0,48,23,1,C,Craig,Cathcart
102,Eric Dier,85,SPURS,Midfielder,37,3,2,0,0,10,0,0,0,5,0,0,0,0,0,E,Eric,Dier
103,Yohan Cabaye,84,LCFC,Midfielder,32,5,1,0,0,7,0,1,1,15,0,1,0,0,0,Y,Yohan,Cabaye
104,Yannick Bolasie,84,LCFC,Midfielder,23,5,4,0,0,2,0,3,3,4,0,0,0,0,0,Y,Yannick,Bolasie
105,Xherdan Shaqiri,84,STOKEC,Midfielder,27,3,6,0,0,3,0,2,0,18,0,0,0,0,0,X,Xherdan,Shaqiri
106,Nicolas Otamendi,84,MCFC,Defender,30,1,0,11,0,9,0,3,0,1,0,0,35,16,0,N,Nicolas,Otamendi
107,Danny Rose,83,SPURS,Defender,24,1,3,8,0,7,0,10,0,3,0,0,20,4,0,D,Danny,Rose
108,Jordan Ayew,83,AVILLA,Forward,27,7,0,0,0,6,1,7,3,7,0,0,0,0,0,J,Jordan,Ayew
109,Steve Cook,83,BOU,Defender,36,4,1,7,0,5,0,1,0,1,0,0,64,35,0,S,Steve,Cook
110,Eden Hazard,83,CHEL,Midfielder,25,4,3,0,0,2,0,6,6,6,0,0,0,0,0,E,Eden,Hazard
111,Manuel Lanzini,82,WESTHAM,Midfielder,23,6,2,0,0,3,0,5,3,13,0,0,0,0,0,M,Manuel,Lanzini
112,Erik Pieters,82,STOKEC,Defender,35,0,1,10,0,10,0,0,0,3,0,0,46,21,0,E,Erik,Pieters
113,Dieudonne Mbokani,82,NCFC,Forward,15,7,1,0,0,0,0,17,14,5,0,0,0,0,0,D,Dieudonne,Mbokani
114,Andrew Surman,81,BOU,Midfielder,38,0,3,0,0,4,0,0,0,0,0,0,0,0,0,A,Andrew,Surman
115,Bafetimbi Gomis,81,SWAN,Forward,18,6,0,0,0,0,0,18,15,8,0,0,0,0,0,B,Bafetimbi,Gomis
116,Jason Puncheon,81,LCFC,Forward,31,2,4,0,0,3,0,2,0,10,0,0,0,0,0,J,Jason,Puncheon
117,Jesus Navas,81,MCFC,Midfielder,24,0,8,0,0,1,0,12,10,8,0,0,0,0,0,J,Jesus,Navas
118,Glen Johnson,80,STOKEC,Defender,25,0,3,9,0,1,0,0,0,2,0,0,30,14,0,G,Glen,Johnson
119,Jonny Evans,79,WBFC,Defender,30,1,1,7,1,4,0,0,0,3,0,0,37,15,0,J,Jonny,Evans
120,Jan Vertonghen,77,SPURS,Defender,29,0,0,9,0,5,0,0,0,1,0,0,29,9,1,J,Jan,Vertonghen
121,Theo Walcott,77,ARSL,Forward,15,5,3,0,0,0,0,18,13,13,0,0,0,0,0,T,Theo,Walcott
122,Philipp Wollscheid,76,STOKEC,Defender,30,0,0,10,0,2,0,7,1,1,0,0,44,23,0,P,Philipp,Wollscheid
123,Allan Nyom,76,WFC,Defender,29,0,1,9,1,8,0,9,3,9,0,0,40,18,0,A,Allan,Nyom
124,Seamus Coleman,76,EVER,Defender,27,1,4,7,0,4,0,1,1,4,0,0,38,17,1,S,Seamus,Coleman
125,Kelechi Iheanacho,75,MCFC,Forward,7,8,1,0,0,1,0,28,19,5,0,0,0,0,0,K,Kelechi,Iheanacho
126,Rudy Gestede,75,AVILLA,Forward,14,5,2,0,0,2,0,20,18,3,0,0,0,0,0,R,Rudy,Gestede
127,Artur Boruc,75,BOU,Goalkeeper,32,0,0,7,0,1,0,1,0,0,2,0,51,26,0,A,Artur,Boruc
128,Neil Taylor,75,SWAN,Defender,33,0,1,8,0,4,0,1,1,1,0,0,49,23,0,N,Neil,Taylor
129,Federico Fernandez,75,SWAN,Defender,32,1,1,8,0,3,0,5,0,0,0,0,44,20,2,F,Federico,Fernandez
130,Joel Ward,75,LCFC,Defender,30,2,1,6,0,4,0,1,0,1,0,0,42,18,0,J,Joel,Ward
131,Cedric Soares,75,SOTOM,Defender,23,0,3,5,5,3,0,11,1,7,0,0,22,8,0,C,Cedric,Soares
132,Jonathan Walters,75,STOKEC,Midfielder,18,5,2,0,0,1,0,11,9,4,0,0,0,0,0,J,Jonathan,Walters
133,Arouna Kone,74,EVER,Forward,16,5,3,0,0,1,0,16,9,10,0,0,0,0,0,A,Arouna,Kone
134,Dan Gosling,74,BOU,Midfielder,28,3,1,0,0,6,0,9,6,7,0,0,0,0,0,D,Dan,Gosling
135,Gerard Deulofeu,74,EVER,Midfielder,16,2,8,0,0,2,0,17,10,11,0,0,0,0,0,G,Gerard,Deulofeu
136,Damien Delaney,73,LCFC,Defender,32,2,2,5,0,2,0,2,0,0,0,0,46,19,2,D,Damien,Delaney
137,Ashley R Westwood,73,AVILLA,Midfielder,31,2,2,0,0,6,0,4,1,3,0,0,0,0,0,A,Ashley,Westwood
138,Fabio Borini,73,SUND,Forward,22,5,2,0,0,6,0,7,4,11,0,0,0,0,0,F,Fabio,Borini
139,Per Mertesacker,72,ARSL,Defender,24,0,0,9,1,1,1,7,0,1,0,0,24,10,0,P,Per,Mertesacker
140,Fernandinho,72,MCFC,Midfielder,31,2,2,0,0,8,0,4,2,4,0,0,0,0,0,F,Fernandinho,Fernandinho
141,Wilfred Zaha,72,LCFC,Forward,30,2,1,0,0,5,0,4,4,12,0,0,0,0,0,W,Wilfred,Zaha
142,James McClean,72,WBFC,Midfielder,28,2,3,0,0,7,1,7,7,8,0,0,0,0,0,J,James,McClean
143,Nemanja Matic,72,CHEL,Midfielder,28,2,2,0,0,5,0,9,5,8,0,0,0,0,0,N,Nemanja,Matic
144,Leonardo Ulloa,72,LEICSC,Forward,7,6,2,0,0,0,0,29,22,5,0,0,0,0,0,L,Leonardo,Ulloa
145,Cameron Jerome,72,NCFC,Forward,19,3,2,0,0,2,0,19,15,13,0,0,0,0,0,C,Cameron,Jerome
146,Moussa Dembele,71,SPURS,Midfielder,27,3,1,0,0,3,0,2,2,10,0,0,0,0,0,M,Moussa,Dembele
147,Wayne Hennessey,71,LCFC,Goalkeeper,29,0,0,8,0,1,0,6,0,0,0,0,36,15,1,W,Wayne,Hennessey
148,Ben Watson,71,WFC,Midfielder,31,2,0,0,0,5,0,7,4,3,0,0,0,0,0,B,Ben,Watson
149,Angelo Obinze Ogbonna,71,WESTHAM,Defender,27,0,0,9,1,5,0,6,1,2,0,0,35,17,0,A,Angelo,Ogbonna
150,Ramiro Funes Mori,71,EVER,Defender,24,4,1,6,0,4,1,7,4,0,0,0,43,21,0,R,Ramiro,Mori
151,Craig Gardner,71,WBFC,Midfielder,20,3,3,0,0,5,0,18,14,11,0,1,0,0,0,C,Craig,Gardner
152,Gabriel Paulista,71,ARSL,Defender,18,1,0,10,1,4,1,17,3,0,0,0,18,8,0,G,Gabriel,Paulista
153,Glenn Whelan,71,STOKEC,Midfielder,37,0,1,0,0,6,0,0,0,8,0,0,0,0,0,G,Glenn,Whelan
154,Simon Francis,70,BOU,Defender,38,0,4,6,1,5,1,0,0,0,0,0,67,36,0,S,Simon,Francis
155,Pape Souare,70,LCFC,Defender,34,0,1,7,0,5,1,0,0,1,0,0,45,18,1,P,Pape,Souare
156,Aaron Lennon,69,EVER,Midfielder,17,5,1,0,0,1,0,15,8,8,0,0,0,0,0,A,Aaron,Lennon
157,Idrissa Gana Gueye,69,AVILLA,Midfielder,35,0,3,0,0,10,0,0,0,5,0,0,0,0,0,I,Idrissa,Gueye
158,Connor Wickham,69,LCFC,Forward,15,5,3,0,0,1,0,6,6,10,0,0,0,0,0,C,Connor,Wickham
159,James McCarthy,68,EVER,Midfielder,29,2,2,0,0,6,0,0,0,6,0,0,0,0,0,J,James,McCarthy
160,Jonjo Shelvey,68,SWAN,Midfielder,25,1,5,0,0,8,0,8,6,8,0,0,0,0,0,J,Jonjo,Shelvey
161,Jack Cork,68,SWAN,Midfielder,28,1,2,0,0,3,0,10,7,4,0,0,0,0,1,J,Jack,Cork
162,Daniel Sturridge,68,LPOOL,Forward,11,8,1,0,0,0,0,7,3,5,0,0,0,0,0,D,Daniel,Sturridge
163,James Ward-Prowse,67,SOTOM,Midfielder,14,2,5,0,0,5,0,24,19,5,0,0,0,0,0,J,James,Ward-Prowse
164,John Stones,67,EVER,Defender,31,0,0,8,0,3,0,2,2,2,0,0,51,26,0,J,John,Stones
165,Saido Berahino,67,WBFC,Forward,17,4,1,0,0,0,0,18,14,10,0,2,0,0,0,S,Saido,Berahino
166,Kurt Zouma,66,CHEL,Defender,21,1,0,8,0,0,0,4,2,1,0,0,30,15,0,K,Kurt,Zouma
167,Jonas Olsson,65,WBFC,Defender,25,1,1,5,3,5,0,11,3,6,0,0,34,14,1,J,Jonas,Olsson
168,Oscar,65,CHEL,Midfielder,20,3,3,0,0,4,0,10,7,12,0,1,0,0,0,O,Oscar,Oscar
169,Wilfried Bony,65,MCFC,Forward,13,4,3,0,0,1,0,16,13,9,0,1,0,0,0,W,Wilfried,Bony
170,Ibrahim Afellay,65,STOKEC,Midfielder,24,2,2,0,0,3,1,8,7,10,0,0,0,0,0,I,Ibrahim,Afellay
171,James McArthur,65,LCFC,Midfielder,26,2,2,0,0,5,0,2,2,10,0,0,0,0,0,J,James,McArthur
172,Vincent Kompany,65,MCFC,Defender,13,2,0,9,0,5,0,2,1,1,0,0,8,3,0,V,Vincent,Kompany
173,Heung Min Son,64,SPURS,Midfielder,13,4,1,0,0,0,0,17,15,12,0,0,0,0,0,H,Heung,Son
174,Diafra Sakho,64,WESTHAM,Forward,18,5,1,0,0,3,0,3,3,11,0,0,0,0,0,D,Diafra,Sakho
175,Jesse Lingard,63,MUFC,Midfielder,19,4,1,0,0,4,0,6,6,8,0,0,0,0,0,J,Jesse,Lingard
176,Tom Cleverley,63,EVER,Midfielder,17,2,5,0,0,1,0,9,5,6,0,0,0,0,0,T,Tom,Cleverley
177,Mame Biram Diouf,63,STOKEC,Forward,12,5,1,0,0,3,0,22,14,5,0,0,0,0,0,M,Mame,Diouf
178,James Tomkins,63,WESTHAM,Defender,23,0,0,8,0,3,0,9,2,6,0,0,31,14,0,J,James,Tomkins
179,Almen Abdi,63,WFC,Midfielder,25,2,0,0,0,4,0,11,7,20,0,0,0,0,0,A,Almen,Abdi
180,Eliaquim Mangala,62,MCFC,Defender,23,0,0,9,0,8,0,5,0,2,0,0,23,9,1,E,Eliaquim,Mangala
181,Etienne Capoue,62,WFC,Midfielder,33,0,1,0,0,7,0,0,0,8,0,0,0,0,0,E,Etienne,Capoue
182,Victor Wanyama,61,SOTOM,Midfielder,29,1,2,0,0,6,1,1,1,3,0,0,0,0,0,V,Victor,Wanyama
183,Claudio Yacob,61,WBFC,Midfielder,33,0,1,0,0,9,0,2,1,8,0,0,0,0,0,C,Claudio,Yacob
184,Dejan Lovren,61,LPOOL,Defender,22,0,0,8,0,2,0,4,2,3,0,0,31,15,0,D,Dejan,Lovren
185,Ander Herrera,61,MUFC,Midfielder,17,3,2,0,0,4,0,15,10,11,0,0,0,0,0,A,Ander,Herrera
186,Marc Pugh,61,BOU,Midfielder,15,3,2,0,0,1,0,17,11,10,0,0,0,0,0,M,Marc,Pugh
187,Stephane Sessegnon,61,WBFC,Midfielder,21,2,2,0,0,1,0,6,4,12,0,0,0,0,0,S,Stephane,Sessegnon
188,Wayne Routledge,60,SWAN,Midfielder,22,2,1,0,0,3,0,11,6,17,0,0,0,0,0,W,Wayne,Routledge
189,Chancel Mbemba,60,NEWU,Defender,33,0,0,7,0,5,0,0,0,1,0,0,55,29,0,C,Chancel,Mbemba
190,Tim Howard,60,EVER,Goalkeeper,25,0,0,7,0,1,0,11,0,0,0,0,35,17,0,T,Tim,Howard
191,Daryl Janmaat,60,NEWU,Defender,32,2,4,3,1,6,0,1,0,3,0,0,62,34,0,D,Daryl,Janmaat
192,Vurnon Anita,60,NEWU,Midfielder,24,1,3,0,0,6,0,5,4,10,0,0,0,0,0,V,Vurnon,Anita
193,Kyle Naughton,60,SWAN,Defender,19,0,3,4,3,2,1,18,8,1,0,0,32,12,0,K,Kyle,Naughton
194,Philip Jagielka,59,EVER,Defender,21,0,0,7,0,0,0,1,0,2,0,0,25,11,0,P,Philip,Jagielka
195,Nathan Ake,59,WFC,Defender,20,1,1,7,0,4,1,7,4,1,0,0,31,14,0,N,Nathan,Ake
196,Nacer Chadli,59,SPURS,Midfielder,10,3,2,0,0,1,0,21,19,5,0,0,0,0,0,N,Nacer,Chadli
197,Morgan Schneiderlin,59,MUFC,Midfielder,25,1,1,0,0,3,0,12,4,4,0,0,0,0,0,M,Morgan,Schneiderlin
198,Gareth Barry,59,EVER,Midfielder,32,0,0,0,0,6,0,1,1,1,0,0,0,0,0,G,Gareth,Barry
199,Steven Naismith,58,EVER,Forward,15,4,1,0,0,3,0,16,8,13,0,0,0,0,0,S,Steven,Naismith
200,Junior Stanislas,58,BOU,Midfielder,17,3,2,0,0,1,0,7,4,9,0,0,0,0,0,J,Junior,Stanislas
201,Geoff Cameron,58,STOKEC,Defender,27,0,0,4,4,0,1,3,3,5,0,0,42,20,0,G,Geoff,Cameron
202,Adam Smith,58,BOU,Defender,22,2,1,6,1,5,0,10,9,2,0,0,53,29,0,A,Adam,Smith
203,Jordan Veretout,57,AVILLA,Midfielder,21,0,5,0,0,4,0,11,4,8,0,0,0,0,0,J,Jordan,Veretout
204,Boaz Myhill,57,WBFC,Goalkeeper,23,0,0,7,0,2,0,15,0,0,0,0,31,15,0,B,Boaz,Myhill
205,Russell Martin,56,NCFC,Defender,30,3,0,4,0,4,1,3,0,0,0,0,54,28,0,R,Russell,Martin
206,Paul Dummett,56,NEWU,Defender,23,1,0,6,0,3,0,1,0,5,0,0,33,16,0,P,Paul,Dummett
207,Younes Kaboul,56,SUND,Defender,22,0,1,7,0,4,0,2,1,1,0,0,32,16,0,Y,Younes,Kaboul
208,DeAndre Yedlin,56,SUND,Defender,21,0,1,6,0,2,0,10,2,3,0,0,30,13,0,D,DeAndre,Yedlin
209,Scott Sinclair,56,AVILLA,Forward,19,2,0,0,0,0,0,18,8,10,0,0,0,0,0,S,Scott,Sinclair
210,Sung-Yueng Ki,55,SWAN,Midfielder,21,2,1,0,0,4,0,11,7,8,0,0,0,0,1,S,Sung-Yueng,Ki
211,Fraser Forster,55,SOTOM,Goalkeeper,18,0,0,6,0,0,0,0,0,0,0,0,17,5,0,F,Fraser,Forster
