,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
0,Robin van Persie,225,MUFC,Forward,35,26,10,0,0,6,0,3,3,4,0,1,0,0,0,R,Robin,Persie
1,Luis Suarez,186,LPOOL,Forward,33,23,5,0,0,10,0,0,0,2,0,0,0,0,0,L,Luis,Suarez
2,Gareth Bale,180,SPURS,Midfielder,33,21,6,0,0,6,0,0,0,4,0,0,0,0,1,G,Gareth,Bale
3,Christian Benteke,165,AVILLA,Forward,32,19,4,0,0,8,0,2,2,4,0,0,0,0,0,C,Christian,Benteke
4,Santi Cazorla,164,ARSL,Midfielder,37,12,10,0,0,1,0,1,1,11,0,0,0,0,0,S,Santi,Cazorla
5,Juan Mata,162,CHEL,Midfielder,31,12,13,0,0,3,0,4,4,18,0,0,0,0,0,J,Juan,Mata
6,Ricky Lambert,161,SOTOM,Forward,35,15,5,0,0,2,0,3,3,8,0,0,0,0,0,R,Ricky,Lambert
7,Michu,160,SWAN,Forward,35,18,2,0,0,6,0,1,0,13,0,0,0,0,0,M,Michu,Michu
8,Theo Walcott,150,ARSL,Forward,24,14,9,0,0,3,0,9,8,9,0,0,0,0,0,T,Theo,Walcott
9,Dimitar Berbatov,148,MUFC,Forward,32,15,3,0,0,1,0,2,1,5,0,0,0,0,0,D,Dimitar,Berbatov
10,Romelu Lukaku,147,WBFC,Forward,20,17,4,0,0,3,0,15,15,13,0,1,0,0,0,R,Romelu,Lukaku
11,Demba Ba,145,NEWU,Forward,30,15,3,0,0,0,0,8,4,11,0,0,0,0,1,D,Demba,Ba
12,Carlos Tevez,144,MCFC,Forward,28,11,10,0,0,3,0,9,6,19,0,0,0,0,0,C,Carlos,Tevez
13,Eden Hazard,141,CHEL,Midfielder,31,9,11,0,0,2,0,3,3,17,0,0,0,0,0,E,Eden,Hazard
14,Joe Hart,139,MCFC,Goalkeeper,38,0,0,18,0,0,0,0,0,0,1,0,34,14,0,J,Joe,Hart
15,Lukas Podolski,139,ARSL,Forward,25,11,9,0,0,1,0,10,8,23,0,0,0,0,0,L,Lukas,Podolski
16,Leighton Baines,137,EVER,Defender,38,5,5,11,0,4,0,0,0,0,0,0,40,13,2,L,Leighton,Baines
17,Arouna Kone,136,WAFC,Forward,32,11,5,0,0,0,0,2,2,3,0,0,0,0,0,A,Arouna,Kone
18,Steven Gerrard,134,LPOOL,Midfielder,36,9,9,0,0,5,0,0,0,1,0,1,0,0,1,S,Steven,Gerrard
19,Patrice Evra,129,MUFC,Defender,34,4,6,10,0,3,0,2,0,0,0,0,38,14,0,P,Patrice,Evra
20,Wayne Rooney,127,MUFC,Forward,22,12,10,0,0,7,0,5,5,9,0,1,0,0,1,W,Wayne,Rooney
21,Marouane Fellaini,126,EVER,Midfielder,31,11,6,0,0,9,0,0,0,2,0,0,0,0,0,M,Marouane,Fellaini
22,Edin Dzeko,124,MCFC,Forward,16,14,4,0,0,4,0,22,16,6,0,1,0,0,0,E,Edin,Dzeko
23,Frank Lampard,124,CHEL,Midfielder,21,15,1,0,0,2,0,10,8,5,0,1,0,0,0,F,Frank,Lampard
24,Jermain Defoe,124,SPURS,Forward,27,11,4,0,0,4,0,8,7,10,0,0,0,0,0,J,Jermain,Defoe
25,Glen Johnson,123,LPOOL,Defender,36,1,3,16,0,7,0,0,0,1,0,0,40,20,0,G,Glen,Johnson
26,Branislav Ivanovic,123,CHEL,Defender,33,5,1,12,0,4,1,5,1,1,0,0,35,13,0,B,Branislav,Ivanovic
27,Fernando Torres,123,CHEL,Forward,28,8,8,0,0,5,0,10,8,6,0,0,0,0,0,F,Fernando,Torres
28,Per Mertesacker,122,ARSL,Defender,33,3,0,14,0,3,1,3,1,0,0,0,30,10,0,P,Per,Mertesacker
29,Shaun Maloney,121,WAFC,Midfielder,34,6,9,0,0,6,0,2,2,9,0,0,0,0,0,S,Shaun,Maloney
30,Kevin Nolan,120,WESTHAM,Midfielder,35,10,2,0,0,6,0,0,0,9,0,0,0,0,0,K,Kevin,Nolan
31,Steven Fletcher,120,SUND,Forward,28,11,4,0,0,3,0,0,0,6,0,0,0,0,0,S,Steven,Fletcher
32,Sergio Aguero,119,MCFC,Forward,22,12,3,0,0,2,0,10,8,13,0,0,0,0,0,S,Sergio,Aguero
33,Daniel Agger,117,LPOOL,Defender,35,3,0,14,1,3,1,0,0,2,0,0,40,20,0,D,Daniel,Agger
34,Robert Snodgrass,115,NCFC,Midfielder,35,6,7,0,0,8,0,3,2,14,0,0,0,0,0,R,Robert,Snodgrass
35,Olivier Giroud,113,ARSL,Forward,24,11,2,0,0,3,1,10,10,4,0,0,0,0,0,O,Olivier,Giroud
36,Adam Johnson,113,SUND,Midfielder,35,5,7,0,0,3,0,0,0,16,0,0,0,0,0,A,Adam,Johnson
37,Petr Cech,113,CHEL,Goalkeeper,36,0,0,14,0,1,0,0,0,1,0,0,36,14,0,P,Petr,Cech
38,Papiss Cisse,112,NEWU,Forward,35,8,3,0,0,6,0,2,1,9,0,1,0,0,0,P,Papiss,Cisse
39,Stephane Sessegnon,112,SUND,Midfielder,34,7,4,0,0,1,1,1,1,12,0,0,0,0,0,S,Stephane,Sessegnon
40,Philip Jagielka,111,EVER,Defender,36,2,1,10,0,1,0,0,0,1,0,0,39,13,0,P,Philip,Jagielka
41,Steven Pienaar,111,EVER,Midfielder,35,6,6,0,0,7,0,0,0,5,0,0,0,0,0,S,Steven,Pienaar
42,Jan Vertonghen,110,SPURS,Defender,34,4,3,9,0,7,0,4,0,0,0,0,41,16,0,J,Jan,Vertonghen
43,Ashley Cole,110,CHEL,Defender,31,1,2,13,0,3,0,3,0,0,0,0,30,12,0,A,Ashley,Cole
44,David Luiz,110,CHEL,Defender,29,2,2,13,1,8,0,2,1,2,0,0,24,8,1,D,David,Luiz
45,Jonathan Walters,109,STOKEC,Midfielder,38,8,2,0,0,3,0,0,0,7,0,2,0,0,2,J,Jonathan,Walters
46,Sebastien Bassong,109,NCFC,Defender,34,3,2,10,0,3,0,0,0,3,0,0,41,17,0,S,Sebastien,Bassong
47,Jose Enrique,109,LPOOL,Defender,25,2,4,11,2,1,0,6,4,3,0,0,30,14,0,J,Jose,Enrique
48,Yaya Toure,108,MCFC,Midfielder,32,7,5,0,0,6,0,0,0,2,0,0,0,0,0,Y,Yaya,Toure
49,Jonathan De Guzman,107,SWAN,Midfielder,33,5,7,0,0,6,0,5,4,11,0,0,0,0,1,J,Jonathan,Guzman
50,Peter Crouch,107,STOKEC,Forward,28,7,4,0,0,2,0,9,6,18,0,0,0,0,0,P,Peter,Crouch
51,James Morrison,107,WBFC,Midfielder,33,5,6,0,0,4,0,3,2,13,0,0,0,0,0,J,James,Morrison
52,Aaron Lennon,107,SPURS,Midfielder,33,4,7,0,0,1,0,1,1,15,0,0,0,0,0,A,Aaron,Lennon
53,Wayne Routledge,106,SWAN,Midfielder,30,5,5,0,0,0,0,7,6,14,0,0,0,0,0,W,Wayne,Routledge
54,Shane Long,106,WBFC,Forward,25,8,4,0,0,3,0,10,9,17,0,1,0,0,0,S,Shane,Long
55,Adam Le Fondre,105,RFC,Forward,11,12,1,0,0,3,0,27,23,1,0,0,0,0,0,A,Adam,Fondre
56,Gabriel Agbonlahor,105,AVILLA,Forward,24,9,4,0,0,4,0,5,4,4,0,0,0,0,0,G,Gabriel,Agbonlahor
57,Jose Reina,105,LPOOL,Goalkeeper,31,0,0,14,0,1,0,1,0,0,1,0,34,17,0,J,Jose,Reina
58,David Silva,104,MCFC,Midfielder,29,4,9,0,0,2,0,4,3,16,0,1,0,0,0,D,David,Silva
59,Asmir Begovic,102,STOKEC,Goalkeeper,38,0,0,12,0,3,0,0,0,0,0,0,45,19,0,A,Asmir,Begovic
60,Mikel Arteta,102,ARSL,Midfielder,34,6,4,0,0,6,0,0,0,3,0,1,0,0,0,M,Mikel,Arteta
61,Ryan Shawcross,101,STOKEC,Defender,37,1,1,12,0,9,0,0,0,0,0,0,42,17,1,R,Ryan,Shawcross
62,Nikica Jelavic,101,EVER,Forward,26,7,2,0,0,3,0,11,11,13,0,0,0,0,0,N,Nikica,Jelavic
