,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
63,Pablo Zabaleta,100,MCFC,Defender,29,2,2,11,1,7,0,4,1,3,0,0,32,14,0,P,Pablo,Zabaleta
64,Jay Rodriguez,100,SOTOM,Forward,24,6,5,0,0,4,0,14,11,9,0,0,0,0,0,J,Jay,Rodriguez
65,Bryan Ruiz,99,FFC,Forward,26,5,7,0,0,2,0,3,3,5,0,0,0,0,0,B,Bryan,Ruiz
66,Tim Howard,99,EVER,Goalkeeper,36,0,0,10,0,0,0,0,0,0,0,0,39,13,0,T,Tim,Howard
67,Grant Holt,98,NCFC,Forward,28,8,2,0,0,8,0,6,6,13,0,1,0,0,0,G,Grant,Holt
68,Leon Osman,98,EVER,Midfielder,36,5,3,0,0,8,0,0,0,7,0,0,0,0,0,L,Leon,Osman
69,Robert Huth,96,STOKEC,Defender,35,1,0,11,0,5,0,0,0,0,0,0,42,18,0,R,Robert,Huth
70,Daniel Sturridge,95,CHEL,Forward,12,11,3,0,0,2,0,12,9,6,0,0,0,0,0,D,Daniel,Sturridge
71,Sylvain Distin,95,EVER,Defender,31,0,1,10,0,2,0,6,3,0,0,0,35,11,0,S,Sylvain,Distin
72,Jobi McAnuff,95,RFC,Midfielder,38,0,8,0,0,5,0,0,0,8,0,0,0,0,0,J,Jobi,McAnuff
73,Gael Clichy,94,MCFC,Defender,26,0,2,11,2,3,0,5,2,2,0,0,26,11,0,G,Gael,Clichy
74,Seamus Coleman,94,EVER,Defender,24,0,5,9,2,4,0,4,2,1,0,0,22,7,0,S,Seamus,Coleman
75,Oscar,94,CHEL,Midfielder,24,4,6,0,0,2,0,14,10,11,0,0,0,0,0,O,Oscar,Oscar
76,Damien Duff,94,FFC,Midfielder,27,3,7,0,0,0,0,4,4,9,0,0,0,0,0,D,Damien,Duff
77,Nathan Dyer,94,SWAN,Midfielder,25,3,7,0,0,4,0,13,12,10,0,0,0,0,0,N,Nathan,Dyer
78,Andreas Weimann,93,AVILLA,Forward,26,7,2,0,0,4,0,10,4,15,0,0,0,0,0,A,Andreas,Weimann
79,Clint Dempsey,93,SPURS,Forward,22,7,3,0,0,2,0,7,7,11,0,0,0,0,0,C,Clint,Dempsey
80,Simon Mignolet,92,SUND,Goalkeeper,38,0,0,11,0,1,0,0,0,0,0,0,54,27,0,S,Simon,Mignolet
81,Craig Gardner,92,SUND,Midfielder,32,6,3,0,0,9,1,1,1,4,0,0,0,0,0,C,Craig,Gardner
82,Jussi Jaaskelainen,92,WESTHAM,Goalkeeper,38,0,0,11,0,2,0,0,0,0,0,0,53,26,0,J,Jussi,Jaaskelainen
83,Rafael Da Silva,92,MUFC,Defender,27,3,3,8,1,6,1,3,1,4,0,0,31,12,0,R,Rafael,Silva
84,Jason Puncheon,92,SOTOM,Midfielder,25,6,2,0,0,1,0,13,7,16,0,0,0,0,0,J,Jason,Puncheon
85,Kyle Walker,92,SPURS,Defender,36,0,4,7,1,5,0,2,0,4,0,0,45,17,0,K,Kyle,Walker
86,David De Gea,91,MUFC,Goalkeeper,28,0,0,11,0,0,0,9,0,0,0,0,26,9,0,D,David,Gea
87,Jean Beausejour,91,WAFC,Midfielder,32,1,8,0,0,4,0,2,2,8,0,0,0,0,0,J,Jean,Beausejour
88,Mark Schwarzer,90,FFC,Goalkeeper,36,0,0,8,0,0,0,0,0,0,3,0,57,29,0,M,Mark,Schwarzer
89,James McCarthy,90,WAFC,Midfielder,38,3,2,0,0,7,0,0,0,2,0,0,0,0,0,J,James,McCarthy
90,Javier Hernandez,90,MUFC,Forward,9,10,4,0,0,1,0,26,13,5,0,1,0,0,0,J,Javier,Hernandez
91,Andy Carroll,89,LPOOL,Forward,22,7,4,0,0,6,0,4,4,5,0,0,0,0,0,A,Andy,Carroll
92,Adel Taarabt,89,QPR,Midfielder,25,5,5,0,0,5,0,9,6,8,0,1,0,0,0,A,Adel,Taarabt
93,Ashley Williams,88,SWAN,Defender,37,0,0,10,0,7,0,1,0,0,0,0,46,19,0,A,Ashley,Williams
94,Geoff Cameron,88,STOKEC,Defender,29,0,1,10,2,6,0,7,6,4,0,0,40,17,0,G,Geoff,Cameron
95,Morgan Schneiderlin,88,SOTOM,Midfielder,36,5,0,0,0,9,0,0,0,1,0,0,0,0,0,M,Morgan,Schneiderlin
96,Sascha Riether,87,FFC,Defender,35,1,6,7,0,4,0,0,0,2,0,0,58,30,0,S,Sascha,Riether
97,John O'Shea,87,SUND,Defender,34,2,0,9,0,3,0,0,0,2,0,0,49,24,0,J,John,O'Shea
98,Ben Davies,87,SWAN,Defender,33,1,2,8,1,5,0,4,4,3,0,0,51,23,0,B,Ben,Davies
99,Anthony Pilkington,87,NCFC,Midfielder,25,5,3,0,0,2,0,6,5,5,0,0,0,0,0,A,Anthony,Pilkington
100,Pablo Hernandez,87,SWAN,Midfielder,27,3,6,0,0,3,0,3,3,17,0,0,0,0,0,P,Pablo,Hernandez
101,Kevin Mirallas,86,EVER,Forward,23,6,3,0,0,3,0,4,4,18,0,0,0,0,0,K,Kevin,Mirallas
102,Franco Di Santo,86,WAFC,Forward,24,5,2,0,0,4,0,13,11,17,0,0,0,0,0,F,Franco,Santo
103,Gareth McAuley,86,WBFC,Defender,36,3,1,8,0,3,0,1,0,0,0,0,55,27,2,G,Gareth,McAuley
104,Javier Garrido,85,NCFC,Defender,34,0,2,9,1,4,0,2,0,2,0,0,47,23,0,J,Javier,Garrido
105,Wojciech Szczesny,85,ARSL,Goalkeeper,25,0,0,10,0,1,0,3,0,0,1,0,24,9,0,W,Wojciech,Szczesny
106,Victor Anichebe,85,EVER,Forward,19,6,4,0,0,2,0,10,7,12,0,0,0,0,0,V,Victor,Anichebe
107,Ramires,85,CHEL,Midfielder,28,5,2,0,0,9,0,7,7,3,0,0,0,0,0,R,Ramires,Ramires
108,Angel Rangel,84,SWAN,Defender,30,3,1,8,0,7,0,4,3,0,0,0,47,22,0,A,Angel,Rangel
109,Adam Lallana,84,SOTOM,Midfielder,26,3,5,0,0,2,0,4,4,12,0,0,0,0,0,A,Adam,Lallana
110,Luis Antonio Valencia,84,MUFC,Defender,24,1,5,6,3,6,0,10,6,7,0,0,35,14,0,L,Luis,Valencia
111,Michael Carrick,84,MUFC,Midfielder,34,1,4,0,0,3,0,2,2,2,0,0,0,0,0,M,Michael,Carrick
112,Winston Reid,83,WESTHAM,Defender,36,1,0,10,0,8,0,0,0,2,0,0,52,26,0,W,Winston,Reid
113,Cesar Azpilicueta,83,CHEL,Defender,24,0,5,8,1,4,0,11,3,1,0,0,28,10,1,C,Cesar,Azpilicueta
114,Wes Hoolahan,82,NCFC,Midfielder,28,3,3,0,0,3,0,9,5,20,0,0,0,0,0,W,Wes,Hoolahan
115,Stewart Downing,81,LPOOL,Midfielder,25,3,4,0,0,0,0,10,4,8,0,0,0,0,0,S,Stewart,Downing
116,Chris Brunt,81,WBFC,Midfielder,23,2,7,0,0,4,0,8,8,4,0,0,0,0,0,C,Chris,Brunt
117,Kieran Gibbs,81,ARSL,Defender,23,0,3,7,2,2,0,5,4,3,0,0,26,8,0,K,Kieran,Gibbs
118,Jordan Henderson,80,LPOOL,Midfielder,16,5,4,0,0,3,0,22,14,9,0,0,0,0,0,J,Jordan,Henderson
119,Sebastian Larsson,80,SUND,Midfielder,36,1,2,0,0,5,0,2,2,17,0,0,0,0,0,S,Sebastian,Larsson
120,Vincent Kompany,80,MCFC,Defender,26,1,0,9,2,3,1,1,0,2,0,0,23,8,1,V,Vincent,Kompany
121,Gary Cahill,79,CHEL,Defender,24,2,3,6,0,1,0,9,2,1,0,0,33,13,0,G,Gary,Cahill
122,Laurent Koscielny,79,ARSL,Defender,20,2,1,7,2,1,1,12,5,1,0,0,23,7,0,L,Laurent,Koscielny
123,Hugo Lloris,79,SPURS,Goalkeeper,27,0,0,9,0,0,0,7,0,0,0,0,29,11,0,H,Hugo,Lloris
124,Shinji Kagawa,78,MUFC,Midfielder,17,6,4,0,0,1,0,7,3,12,0,0,0,0,0,S,Shinji,Kagawa
125,Yohan Cabaye,78,NEWU,Midfielder,25,6,2,0,0,9,0,1,1,10,0,0,0,0,0,Y,Yohan,Cabaye
126,Joey O'Brien,78,WESTHAM,Midfielder,32,2,4,0,0,6,0,3,1,7,0,0,0,0,1,J,Joey,O'Brien
127,Matija Nastasic,77,MCFC,Defender,21,0,0,11,0,1,0,5,0,2,0,0,18,8,0,M,Matija,Nastasic
128,Mohamed Diame,76,WESTHAM,Midfielder,31,3,0,0,0,3,0,3,2,14,0,0,0,0,0,M,Mohamed,Diame
129,Hal Robson-Kanu,76,RFC,Forward,13,7,1,0,0,0,0,18,12,8,0,0,0,0,0,H,Hal,Robson-Kanu
130,Bradley Johnson,76,NCFC,Midfielder,37,1,2,0,0,9,0,0,0,5,0,0,0,0,0,B,Bradley,Johnson
131,Jonas Olsson,75,WBFC,Defender,36,0,1,8,0,4,0,0,0,0,0,0,53,25,1,J,Jonas,Olsson
132,Gaston Ramirez,75,SOTOM,Midfielder,20,5,3,0,0,2,1,8,6,15,0,0,0,0,0,G,Gaston,Ramirez
133,Mark Noble,75,WESTHAM,Midfielder,25,4,3,0,0,7,0,5,3,3,0,0,0,0,0,M,Mark,Noble
134,Nathaniel Clyne,75,SOTOM,Defender,34,1,3,6,0,2,0,1,0,2,0,0,54,26,1,N,Nathaniel,Clyne
135,Bacary Sagna,74,ARSL,Defender,25,0,0,9,0,2,0,1,0,1,0,0,26,10,0,B,Bacary,Sagna
136,Matt Jarvis,74,WESTHAM,Midfielder,29,2,1,0,0,0,0,5,3,9,0,0,0,0,0,M,Matt,Jarvis
137,Russell Martin,73,NCFC,Defender,30,3,0,7,0,1,0,4,1,1,0,0,54,30,0,R,Russell,Martin
138,Pavel Pogrebnyak,73,RFC,Forward,26,5,0,0,0,4,1,7,3,18,0,0,0,0,0,P,Pavel,Pogrebnyak
139,Danny Graham,73,SWAN,Forward,21,3,2,0,0,0,0,13,10,9,0,0,0,0,0,D,Danny,Graham
140,Martin Skrtel,73,LPOOL,Defender,23,2,0,8,2,4,0,12,2,1,0,0,32,17,0,M,Martin,Skrtel
141,James McArthur,72,WAFC,Midfielder,24,3,2,0,0,7,0,11,10,4,0,0,0,0,0,J,James,McArthur
142,Gylfi Sigurdsson,72,SPURS,Midfielder,12,3,4,0,0,0,0,26,21,8,0,0,0,0,0,G,Gylfi,Sigurdsson
143,James McClean,72,SUND,Midfielder,24,2,2,0,0,4,0,12,12,4,0,0,0,0,0,J,James,McClean
144,Samir Nasri,72,MCFC,Midfielder,22,2,6,0,0,3,1,9,6,10,0,0,0,0,0,S,Samir,Nasri
145,Moussa Dembele,72,FFC,Forward,28,1,4,0,0,5,0,4,4,15,0,0,0,0,0,M,Moussa,Dembele
146,Jonny Evans,72,MUFC,Defender,21,3,0,7,3,2,0,9,2,3,0,0,26,13,2,J,Jonny,Evans
147,Charlie Adam,71,LPOOL,Midfielder,22,3,5,0,0,8,0,12,5,16,0,0,0,0,0,C,Charlie,Adam
148,Joleon Lescott,71,MCFC,Defender,17,1,0,7,4,3,0,16,9,1,0,0,25,10,0,J,Joleon,Lescott
149,Glenn Whelan,71,STOKEC,Midfielder,31,0,4,0,0,4,0,1,1,8,0,0,0,0,0,G,Glenn,Whelan
150,James Milner,70,MCFC,Midfielder,19,4,3,0,0,1,1,10,7,5,0,0,0,0,0,J,James,Milner
151,Garath McCleary,70,RFC,Midfielder,15,3,3,0,0,0,0,19,16,7,0,0,0,0,0,G,Garath,McCleary
152,Ben Foster,70,WBFC,Goalkeeper,30,0,0,7,0,0,0,1,0,0,1,0,46,23,0,B,Ben,Foster
153,Jamie Carragher,70,LPOOL,Defender,16,0,1,7,6,4,0,21,8,1,0,0,20,9,0,J,Jamie,Carragher
154,Guy Demel,69,WESTHAM,Defender,28,0,2,5,4,2,0,5,3,8,0,0,44,22,0,G,Guy,Demel
155,Rio Ferdinand,69,MUFC,Defender,26,1,1,6,1,2,0,6,2,4,0,0,38,17,0,R,Rio,Ferdinand
156,Peter Odemwingie,68,WBFC,Forward,13,5,3,0,0,1,1,15,12,4,0,0,0,0,0,P,Peter,Odemwingie
157,John Arne Riise,68,FFC,Defender,29,0,2,8,0,4,0,5,2,3,0,0,49,26,0,J,John,Riise
158,Ashley R Westwood,68,AVILLA,Midfielder,28,0,5,0,0,2,0,6,2,6,0,0,0,0,1,A,Ashley,Westwood
159,Matthew Lowton,68,AVILLA,Defender,37,2,3,5,0,10,0,0,0,1,0,0,67,35,0,M,Matthew,Lowton
160,Emmanuel Adebayor,68,SPURS,Forward,18,5,2,0,0,3,1,8,7,8,0,0,0,0,0,E,Emmanuel,Adebayor
161,James Collins,67,WESTHAM,Defender,29,0,1,7,2,9,0,4,0,4,0,0,37,17,0,J,James,Collins
162,Chico Flores,67,SWAN,Defender,26,0,0,9,0,5,1,1,0,2,0,0,30,13,0,C,Chico,Flores
163,Michael Turner,67,NCFC,Defender,25,3,0,7,1,6,0,4,1,2,0,0,41,23,0,M,Michael,Turner
164,Steven Naismith,67,EVER,Forward,13,4,1,0,0,0,0,24,18,11,0,0,0,0,0,S,Steven,Naismith
165,Aaron Ramsey,66,ARSL,Midfielder,21,1,3,0,0,5,0,17,15,5,0,0,0,0,0,A,Aaron,Ramsey
166,Emmerson Boyce,66,WAFC,Defender,36,4,0,4,1,5,0,0,0,7,0,0,67,36,1,E,Emmerson,Boyce
167,Steven Davis,66,SOTOM,Midfielder,22,2,1,0,0,1,0,15,10,11,0,0,0,0,0,S,Steven,Davis
168,Michel Vorm,65,SWAN,Goalkeeper,26,0,0,7,0,1,0,1,0,2,1,0,38,19,0,M,Michel,Vorm
169,Brede Hangeland,65,FFC,Defender,35,0,0,7,0,2,1,0,0,1,0,0,56,28,0,B,Brede,Hangeland
170,Maya Yoshida,65,SOTOM,Defender,31,0,0,7,0,2,0,4,1,0,0,0,49,24,0,M,Maya,Yoshida
171,Alexander Kacanikilic,65,FFC,Midfielder,16,4,3,0,0,0,0,10,4,12,0,0,0,0,0,A,Alexander,Kacanikilic
172,Steve Sidwell,65,FFC,Midfielder,24,4,2,0,0,7,2,4,4,3,0,0,0,0,0,S,Steve,Sidwell
173,Jonas Gutierrez,65,NEWU,Midfielder,34,1,0,0,0,8,0,0,0,6,0,0,0,0,0,J,Jonas,Gutierrez
174,Thomas Vermaelen,64,ARSL,Defender,25,0,0,5,3,3,0,10,4,2,0,0,34,13,0,T,Thomas,Vermaelen
175,Hugo Rodallega,64,FFC,Forward,14,3,2,0,0,0,0,24,15,7,0,0,0,0,0,H,Hugo,Rodallega
176,Nemanja Vidic,64,MUFC,Defender,18,1,0,7,1,2,0,4,1,2,0,0,14,3,1,N,Nemanja,Vidic
177,Gareth Barry,63,MCFC,Midfielder,27,1,3,0,0,6,0,6,4,5,0,0,0,0,1,G,Gareth,Barry
178,Gervinho,63,ARSL,Forward,12,5,3,0,0,1,0,17,6,10,0,0,0,0,0,G,Gervinho,Gervinho
179,Jonathan Howson,63,NCFC,Midfielder,22,2,1,0,0,2,0,15,8,3,0,0,0,0,0,J,Jonathan,Howson
180,Ricardo Vaz Te,63,WESTHAM,Forward,18,3,3,0,0,3,0,9,6,12,0,0,0,0,0,R,Ricardo,Te
181,Steven N'Zonzi,63,STOKEC,Midfielder,35,1,0,0,0,9,1,0,0,1,0,0,0,0,0,S,Steven,N'Zonzi
182,Jimmy Kebe,62,RFC,Midfielder,16,5,1,0,0,0,0,2,2,6,0,0,0,0,0,J,Jimmy,Kebe
183,Youssuf Mulumbu,62,WBFC,Midfielder,28,2,1,0,0,4,1,0,0,1,0,0,0,0,0,Y,Youssuf,Mulumbu
184,Davide Santon,62,NEWU,Defender,31,1,3,3,2,4,0,0,0,4,0,0,52,26,0,D,Davide,Santon
185,Carlos Cuellar,62,SUND,Defender,26,1,1,7,1,5,0,4,0,3,0,0,38,20,1,C,Carlos,Cuellar
186,Michael Dawson,62,SPURS,Defender,23,1,0,5,1,3,0,10,4,2,0,0,33,12,0,M,Michael,Dawson
187,Ryan Shotton,62,STOKEC,Defender,20,0,1,6,2,5,0,7,3,3,0,0,22,7,0,R,Ryan,Shotton
188,John Terry,62,CHEL,Defender,11,4,0,4,3,1,0,12,3,2,0,0,11,4,0,J,John,Terry
189,Jack Colback,62,SUND,Midfielder,30,0,0,0,0,3,0,8,5,5,0,0,0,0,0,J,Jack,Colback
190,Liam Ridgewell,61,WBFC,Defender,28,0,1,7,0,6,0,7,2,2,0,0,45,22,0,L,Liam,Ridgewell
191,Philippe Coutinho,61,LPOOL,Midfielder,12,3,7,0,0,0,0,1,1,8,0,0,0,0,0,P,Philippe,Coutinho
192,Raheem Sterling,61,LPOOL,Midfielder,19,2,3,0,0,1,0,9,5,4,0,0,0,0,0,R,Raheem,Sterling
193,Mikele Leigertwood,61,RFC,Midfielder,29,1,0,0,0,3,0,3,1,1,0,0,0,0,0,M,Mikele,Leigertwood
194,Brad Guzan,61,AVILLA,Goalkeeper,36,0,0,5,0,2,0,2,0,0,1,0,65,34,0,B,Brad,Guzan
195,Mladen Petric,60,FFC,Forward,9,5,1,0,0,0,0,20,14,8,0,0,0,0,0,M,Mladen,Petric
196,Danny Rose,60,SUND,Defender,25,1,1,5,3,6,0,3,2,8,0,0,39,20,0,D,Danny,Rose
197,Kenwyne Jones,60,STOKEC,Forward,10,3,3,0,0,0,0,26,16,7,0,0,0,0,0,K,Kenwyne,Jones
198,Hatem Ben Arfa,60,NEWU,Midfielder,16,4,2,0,0,1,0,3,3,5,0,0,0,0,0,H,Hatem,Arfa
199,Jordi Gomez,60,WAFC,Midfielder,17,3,1,0,0,4,1,21,15,9,0,0,0,0,0,J,Jordi,Gomez
200,Bobby Zamora,59,QPR,Forward,16,4,2,0,0,1,1,6,5,7,0,0,0,0,0,B,Bobby,Zamora
201,Leon Britton,59,SWAN,Midfielder,30,0,0,0,0,4,0,4,3,11,0,0,0,0,0,L,Leon,Britton
202,Graham Dorrans,58,WBFC,Midfielder,21,1,3,0,0,3,0,13,5,15,0,0,0,0,0,G,Graham,Dorrans
203,Matthew Taylor,57,WESTHAM,Midfielder,14,1,4,0,0,2,0,19,14,6,0,0,0,0,0,M,Matthew,Taylor
204,Brett Holman,56,AVILLA,Midfielder,16,1,3,0,0,1,0,20,11,11,0,0,0,0,0,B,Brett,Holman
205,Tom Cleverley,55,MUFC,Midfielder,18,2,2,0,0,1,0,18,4,13,0,0,0,0,0,T,Tom,Cleverley
206,Luke Shaw,55,SOTOM,Defender,22,0,0,4,2,2,0,6,3,7,0,0,29,10,0,L,Luke,Shaw
207,Stephane Mbia,55,QPR,Midfielder,29,0,3,0,0,9,1,0,0,7,0,0,0,0,0,S,Stephane,Mbia
208,Cameron Jerome,55,STOKEC,Forward,8,3,3,0,0,3,0,25,18,3,0,0,0,0,0,C,Cameron,Jerome
209,Jack Cork,55,SOTOM,Midfielder,28,0,0,0,0,1,0,0,0,4,0,0,0,0,0,J,Jack,Cork
210,Maynor Figueroa,54,WAFC,Defender,33,1,1,5,0,5,1,0,0,3,0,0,60,32,0,M,Maynor,Figueroa
211,Ryan Nelsen,54,QPR,Defender,21,1,0,5,0,0,0,1,0,1,0,0,29,13,0,R,Ryan,Nelsen
212,Loic Remy,54,QPR,Forward,13,6,0,0,0,1,0,1,1,4,0,1,0,0,0,L,Loic,Remy
