,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
0,Harry Kane,220,SPURS,Forward,29,29,7,0,0,3,0,1,1,16,0,1,0,0,0,H,Harry,Kane
1,Alexis Sanchez,219,ARSL,Forward,36,24,11,0,0,6,0,2,2,8,0,1,0,0,0,A,Alexis,Sanchez
2,Romelu Lukaku,213,EVER,Forward,36,25,6,0,0,3,0,1,1,2,0,0,0,0,0,R,Romelu,Lukaku
3,Diego Costa,179,CHEL,Forward,35,20,7,0,0,10,0,1,0,8,0,1,0,0,0,D,Diego,Costa
4,Dele Alli,179,SPURS,Midfielder,35,18,7,0,0,4,0,2,2,13,0,0,0,0,0,D,Dele,Alli
5,Eden Hazard,168,CHEL,Midfielder,36,16,7,0,0,3,0,0,0,25,0,1,0,0,0,E,Eden,Hazard
6,Gylfi Sigurdsson,157,SWAN,Midfielder,37,9,13,0,0,2,0,1,1,2,0,0,0,0,0,G,Gylfi,Sigurdsson
7,Christian Eriksen,157,SPURS,Midfielder,36,8,15,0,0,0,0,2,0,10,0,0,0,0,0,C,Christian,Eriksen
8,Sergio Aguero,156,MCFC,Forward,25,20,3,0,0,4,1,6,6,8,0,1,0,0,0,S,Sergio,Aguero
9,Jermain Defoe,154,SUND,Forward,37,15,2,0,0,1,0,0,0,2,0,0,0,0,0,J,Jermain,Defoe
10,Marcos Alonso,152,CHEL,Defender,30,6,3,15,0,2,0,4,1,2,0,0,22,6,0,M,Marcos,Alonso
11,Joshua King,150,BOU,Forward,31,16,2,0,0,1,0,5,5,13,0,1,0,0,0,J,Joshua,King
12,Gary Cahill,148,CHEL,Defender,36,6,0,15,1,5,0,2,1,1,0,0,30,9,1,G,Gary,Cahill
13,Kevin De Bruyne,147,MCFC,Midfielder,33,6,18,0,0,4,0,4,3,11,0,1,0,0,0,K,Kevin,Bruyne
14,Zlatan Ibrahimovic,146,MUFC,Forward,27,17,5,0,0,7,0,1,1,0,0,1,0,0,0,Z,Zlatan,Ibrahimovic
15,Philippe Coutinho,143,LPOOL,Midfielder,28,13,7,0,0,2,0,3,3,19,0,0,0,0,0,P,Philippe,Coutinho
16,Jamie Vardy,143,LEICSC,Forward,33,13,5,0,0,2,1,2,2,8,0,0,0,0,0,J,Jamie,Vardy
17,Heung Min Son,143,SPURS,Midfielder,23,14,6,0,0,2,0,13,11,15,0,0,0,0,0,H,Heung,Son
18,Cesar Azpilicueta,142,CHEL,Defender,38,1,4,16,0,4,0,0,0,0,0,0,33,11,0,C,Cesar,Azpilicueta
19,Roberto Firmino,140,LPOOL,Midfielder,34,11,7,0,0,5,0,1,1,7,0,0,0,0,0,R,Roberto,Firmino
20,Christian Benteke,139,LCFC,Forward,36,15,2,0,0,10,0,0,0,7,0,2,0,0,0,C,Christian,Benteke
