,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
1168,Gael Kakuta,115,RAVA,Forward,35,5,7,0,0,1,0,0,0,5,0,0,0,0,0,G,Gael,Kakuta
1169,Joaquin Larrivey,114,RCCV,Forward,26,11,1,0,0,5,0,9,9,13,0,0,0,0,0,J,Joaquin,Larrivey
1170,Shkodran Mustafi,112,VALA,Defender,33,4,0,10,0,7,0,3,0,3,0,0,30,7,0,S,Shkodran,Mustafi
1171,Jose Gaya,112,VALA,Defender,32,1,6,9,3,10,0,3,3,3,0,0,30,7,1,J,Jose,Gaya
1172,David Barral,111,,Forward,32,11,0,0,0,11,0,4,3,14,0,0,0,0,0,D,David,Barral
1173,Luciano Vietto,109,VIAL,Forward,17,12,2,0,0,5,0,17,14,5,0,0,0,0,0,L,Luciano,Vietto
1174,Felipe Caicedo,109,RCDE,Forward,25,9,2,0,0,2,0,12,10,21,0,0,0,0,0,F,Felipe,Caicedo
1175,Cristhian Stuani,107,RCDE,Forward,15,12,0,0,0,5,0,22,22,8,0,0,0,0,0,C,Cristhian,Stuani
1176,Tomer Hemed,106,,Forward,26,8,4,0,0,4,1,11,9,10,0,0,0,0,0,T,Tomer,Hemed
1177,Antonio Barragan,106,VALA,Defender,32,1,2,10,2,8,0,4,2,3,0,0,29,7,0,A,Antonio,Barragan
1178,Mikel Arruabarrena,105,,Forward,29,9,2,0,0,9,0,6,5,12,0,0,0,0,0,M,Mikel,Arruabarrena
1179,Pablo Piatti,105,VALA,Forward,26,7,6,0,0,2,0,4,2,20,0,0,0,0,0,P,Pablo,Piatti
1180,Carlos Kameni,104,MALA,Goalkeeper,38,0,0,10,0,2,0,0,0,0,2,0,48,20,0,C,Carlos,Kameni
1181,Iker Casillas,104,MADR,Goalkeeper,33,0,0,12,0,0,0,5,0,0,1,0,36,15,0,I,Iker,Casillas
1182,Jeremy Mathieu,103,BARC,Defender,23,2,0,11,4,5,0,9,6,3,0,0,19,6,0,J,Jeremy,Mathieu
1183,Ivan Rakitic,103,BARC,Midfielder,23,5,8,0,0,1,0,11,9,11,0,0,0,0,0,I,Ivan,Rakitic
1184,Gorka Iraizoz,102,ATBI,Goalkeeper,34,0,0,12,0,3,0,4,0,0,1,0,38,16,0,G,Gorka,Iraizoz
1185,Carlos Vela,101,RESO,Forward,23,9,3,0,0,5,0,6,6,12,0,0,0,0,0,C,Carlos,Vela
